# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.38348E-02
       0.0000      32302.4877         0.38730E-02
       0.0000      32342.8154         0.39117E-02
       0.0000      32383.1431         0.39509E-02
       0.0000      32423.4708         0.39906E-02
       0.0000      32463.7985         0.40308E-02
       0.0000      32504.1262         0.40716E-02
       0.0000      32544.4539         0.41128E-02
       0.0000      32584.7816         0.41546E-02
       0.0000      32625.1093         0.41970E-02
       0.0000      32665.4370         0.42398E-02
       0.0000      32705.7647         0.42833E-02
       0.0000      32746.0924         0.43273E-02
       0.0000      32786.4201         0.43719E-02
       0.0000      32826.7478         0.44171E-02
       0.0000      32867.0755         0.44628E-02
       0.0000      32907.4032         0.45092E-02
       0.0000      32947.7309         0.45562E-02
       0.0000      32988.0586         0.46038E-02
       0.0000      33028.3863         0.46521E-02
       0.0000      33068.7140         0.47010E-02
       0.0000      33109.0417         0.47506E-02
       0.0000      33149.3694         0.48008E-02
       0.0000      33189.6971         0.48518E-02
       0.0000      33230.0248         0.49034E-02
       0.0000      33270.3525         0.49557E-02
       0.0000      33310.6802         0.50087E-02
       0.0000      33351.0079         0.50625E-02
       0.0000      33391.3356         0.51170E-02
       0.0000      33431.6633         0.51723E-02
       0.0000      33471.9910         0.52284E-02
       0.0000      33512.3187         0.52852E-02
       0.0000      33552.6464         0.53428E-02
       0.0000      33592.9741         0.54012E-02
       0.0000      33633.3018         0.54605E-02
       0.0000      33673.6295         0.55206E-02
       0.0000      33713.9572         0.55816E-02
       0.0000      33754.2849         0.56434E-02
       0.0000      33794.6126         0.57061E-02
       0.0000      33834.9403         0.57697E-02
       0.0000      33875.2680         0.58343E-02
       0.0000      33915.5957         0.58998E-02
       0.0000      33955.9234         0.59662E-02
       0.0000      33996.2511         0.60336E-02
       0.0000      34036.5788         0.61020E-02
       0.0000      34076.9065         0.61714E-02
       0.0000      34117.2342         0.62418E-02
       0.0000      34157.5619         0.63133E-02
       0.0000      34197.8896         0.63858E-02
       0.0000      34238.2173         0.64595E-02
       0.0000      34278.5450         0.65342E-02
       0.0000      34318.8727         0.66101E-02
       0.0000      34359.2004         0.66871E-02
       0.0000      34399.5281         0.67653E-02
       0.0000      34439.8558         0.68447E-02
       0.0000      34480.1835         0.69253E-02
       0.0000      34520.5112         0.70071E-02
       0.0000      34560.8389         0.70902E-02
       0.0000      34601.1666         0.71746E-02
       0.0000      34641.4943         0.72603E-02
       0.0000      34681.8220         0.73474E-02
       0.0000      34722.1497         0.74358E-02
       0.0000      34762.4774         0.75257E-02
       0.0000      34802.8051         0.76170E-02
       0.0000      34843.1328         0.77097E-02
       0.0000      34883.4605         0.78039E-02
       0.0000      34923.7882         0.78996E-02
       0.0000      34964.1159         0.79969E-02
       0.0000      35004.4436         0.80958E-02
       0.0000      35044.7713         0.81962E-02
       0.0000      35085.0990         0.82984E-02
       0.0000      35125.4267         0.84022E-02
       0.0000      35165.7544         0.85077E-02
       0.0000      35206.0821         0.86150E-02
       0.0000      35246.4098         0.87241E-02
       0.0000      35286.7375         0.88350E-02
       0.0000      35327.0652         0.89477E-02
       0.0000      35367.3929         0.90624E-02
       0.0000      35407.7206         0.91791E-02
       0.0000      35448.0483         0.92977E-02
       0.0000      35488.3760         0.94184E-02
       0.0000      35528.7037         0.95412E-02
       0.0000      35569.0314         0.96661E-02
       0.0000      35609.3591         0.97932E-02
       0.0000      35649.6868         0.99226E-02
       0.0000      35690.0145         0.10054E-01
       0.0000      35730.3422         0.10188E-01
       0.0000      35770.6699         0.10324E-01
       0.0000      35810.9976         0.10463E-01
       0.0000      35851.3253         0.10605E-01
       0.0000      35891.6530         0.10748E-01
       0.0000      35931.9807         0.10895E-01
       0.0000      35972.3084         0.11044E-01
       0.0000      36012.6361         0.11196E-01
       0.0000      36052.9638         0.11351E-01
       0.0000      36093.2915         0.11508E-01
       0.0000      36133.6192         0.11669E-01
       0.0000      36173.9469         0.11833E-01
       0.0000      36214.2746         0.11999E-01
       0.0000      36254.6023         0.12169E-01
       0.0000      36294.9300         0.12342E-01
       0.0000      36335.2577         0.12519E-01
       0.0000      36375.5854         0.12699E-01
       0.0000      36415.9131         0.12882E-01
       0.0000      36456.2408         0.13069E-01
       0.0000      36496.5685         0.13260E-01
       0.0000      36536.8962         0.13455E-01
       0.0000      36577.2239         0.13653E-01
       0.0000      36617.5516         0.13856E-01
       0.0000      36657.8793         0.14062E-01
