# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.19375E+04
       0.0000      32302.4877         0.20217E+04
       0.0000      32342.8154         0.21064E+04
       0.0000      32383.1431         0.21915E+04
       0.0000      32423.4708         0.22767E+04
       0.0000      32463.7985         0.23619E+04
       0.0000      32504.1262         0.24468E+04
       0.0000      32544.4539         0.25314E+04
       0.0000      32584.7816         0.26154E+04
       0.0000      32625.1093         0.26988E+04
       0.0000      32665.4370         0.27812E+04
       0.0000      32705.7647         0.28627E+04
       0.0000      32746.0924         0.29430E+04
       0.0000      32786.4201         0.30221E+04
       0.0000      32826.7478         0.30997E+04
       0.0000      32867.0755         0.31759E+04
       0.0000      32907.4032         0.32505E+04
       0.0000      32947.7309         0.33234E+04
       0.0000      32988.0586         0.33946E+04
       0.0000      33028.3863         0.34640E+04
       0.0000      33068.7140         0.35316E+04
       0.0000      33109.0417         0.35973E+04
       0.0000      33149.3694         0.36611E+04
       0.0000      33189.6971         0.37230E+04
       0.0000      33230.0248         0.37829E+04
       0.0000      33270.3525         0.38410E+04
       0.0000      33310.6802         0.38972E+04
       0.0000      33351.0079         0.39515E+04
       0.0000      33391.3356         0.40040E+04
       0.0000      33431.6633         0.40547E+04
       0.0000      33471.9910         0.41037E+04
       0.0000      33512.3187         0.41511E+04
       0.0000      33552.6464         0.41968E+04
       0.0000      33592.9741         0.42410E+04
       0.0000      33633.3018         0.42837E+04
       0.0000      33673.6295         0.43250E+04
       0.0000      33713.9572         0.43649E+04
       0.0000      33754.2849         0.44037E+04
       0.0000      33794.6126         0.44412E+04
       0.0000      33834.9403         0.44776E+04
       0.0000      33875.2680         0.45131E+04
       0.0000      33915.5957         0.45475E+04
       0.0000      33955.9234         0.45812E+04
       0.0000      33996.2511         0.46140E+04
       0.0000      34036.5788         0.46460E+04
       0.0000      34076.9065         0.46775E+04
       0.0000      34117.2342         0.47083E+04
       0.0000      34157.5619         0.47386E+04
       0.0000      34197.8896         0.47684E+04
       0.0000      34238.2173         0.47978E+04
       0.0000      34278.5450         0.48269E+04
       0.0000      34318.8727         0.48556E+04
       0.0000      34359.2004         0.48841E+04
       0.0000      34399.5281         0.49124E+04
       0.0000      34439.8558         0.49405E+04
       0.0000      34480.1835         0.49685E+04
       0.0000      34520.5112         0.49963E+04
       0.0000      34560.8389         0.50242E+04
       0.0000      34601.1666         0.50519E+04
       0.0000      34641.4943         0.50797E+04
       0.0000      34681.8220         0.51075E+04
       0.0000      34722.1497         0.51353E+04
       0.0000      34762.4774         0.51632E+04
       0.0000      34802.8051         0.51912E+04
       0.0000      34843.1328         0.52193E+04
       0.0000      34883.4605         0.52475E+04
       0.0000      34923.7882         0.52759E+04
       0.0000      34964.1159         0.53044E+04
       0.0000      35004.4436         0.53330E+04
       0.0000      35044.7713         0.53618E+04
       0.0000      35085.0990         0.53909E+04
       0.0000      35125.4267         0.54201E+04
       0.0000      35165.7544         0.54495E+04
       0.0000      35206.0821         0.54791E+04
       0.0000      35246.4098         0.55089E+04
       0.0000      35286.7375         0.55389E+04
       0.0000      35327.0652         0.55692E+04
