# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     6.7900  eV
#     vib freq     dsigma/dOmega
       0.0000         0.47254E+02
      23.6997         0.53592E-02
      40.6518         0.10686E-01
      53.9545         0.17600E-02
      62.8630         0.81790E-03
      69.5887         0.21942E-02
     101.7442         0.82769E-01
     118.2485         0.48923E-02
     138.7096         0.94695E-03
     149.1788         0.31112E-01
     159.8440         0.97579E-03
     167.9592         0.71599E-02
     175.7391         0.43801E-01
     183.5732         0.64988E-02
     192.1327         0.22702E-02
     224.4472         0.57648E-04
     254.1260         0.76083E-03
     282.0351         0.84829E-04
     305.9821         0.32983E-02
     309.8139         0.19022E-03
     325.0444         0.15970E-02
     344.1425         0.56325E-01
     395.8559         0.20115E-01
     415.6368         0.36802E-01
     431.5848         0.82130E-02
     438.6288         0.12048E+00
     465.4921         0.74508E-03
     482.3865         0.11972E+00
     531.9302         0.74439E-04
     567.0993         0.12806E+00
     608.9594         0.89509E+00
     625.2400         0.12586E-01
     636.2482         0.32285E-02
     684.2638         0.15432E-02
     762.3259         0.35905E-02
     766.6493         0.44265E+00
     783.2079         0.10687E-01
     809.4517         0.11263E-03
     825.0917         0.67595E-01
     882.3865         0.59610E-02
     912.2086         0.43322E-01
     956.4500         0.36971E-03
    1012.2769         0.83974E+00
    1051.7976         0.89766E+00
    1080.6899         0.70554E-04
    1201.8191         0.22400E+00
    1248.7788         0.92698E+00
    1270.7560         0.29265E+00
    1397.0368         0.11077E+00
    1429.4934         0.76077E-02
    1470.7923         0.10975E-05
    1478.7287         0.31433E+01
    1492.2555         0.75540E-02
    1504.5582         0.24752E-02
    1552.3293         0.29422E+01
    1594.8073         0.77444E-02
    1606.2932         0.17376E-05
    1633.1116         0.17635E-01
    1669.2503         0.19118E-01
    1710.0514         0.26035E-01
    1726.4697         0.14509E+00
    1749.6754         0.10412E+02
    3059.8482         0.77267E-02
    3117.0181         0.46278E-05
    3144.5536         0.44065E-04
    3234.9849         0.34043E-04
    3295.0749         0.12474E+00
    3410.5667         0.68955E-02
    3434.6024         0.72022E-01
    3523.2178         0.65630E-04
    3668.4810         0.98751E-01
    3695.2025         0.42513E-01
    3734.8106         0.80591E-01
    3879.3355         0.46070E-05
    3892.8912         0.12037E-06
    3896.9960         0.12807E-01
