# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.76767E+05
       0.0000      32302.4877         0.77894E+05
       0.0000      32342.8154         0.79042E+05
       0.0000      32383.1431         0.80212E+05
       0.0000      32423.4708         0.81406E+05
       0.0000      32463.7985         0.82622E+05
       0.0000      32504.1262         0.83863E+05
       0.0000      32544.4539         0.85129E+05
       0.0000      32584.7816         0.86420E+05
       0.0000      32625.1093         0.87736E+05
       0.0000      32665.4370         0.89080E+05
       0.0000      32705.7647         0.90450E+05
       0.0000      32746.0924         0.91849E+05
       0.0000      32786.4201         0.93276E+05
       0.0000      32826.7478         0.94733E+05
       0.0000      32867.0755         0.96221E+05
       0.0000      32907.4032         0.97739E+05
       0.0000      32947.7309         0.99290E+05
       0.0000      32988.0586         0.10087E+06
       0.0000      33028.3863         0.10249E+06
       0.0000      33068.7140         0.10414E+06
       0.0000      33109.0417         0.10583E+06
       0.0000      33149.3694         0.10756E+06
       0.0000      33189.6971         0.10932E+06
       0.0000      33230.0248         0.11112E+06
       0.0000      33270.3525         0.11296E+06
       0.0000      33310.6802         0.11485E+06
       0.0000      33351.0079         0.11677E+06
       0.0000      33391.3356         0.11874E+06
       0.0000      33431.6633         0.12076E+06
       0.0000      33471.9910         0.12282E+06
       0.0000      33512.3187         0.12493E+06
       0.0000      33552.6464         0.12708E+06
       0.0000      33592.9741         0.12929E+06
       0.0000      33633.3018         0.13155E+06
       0.0000      33673.6295         0.13387E+06
       0.0000      33713.9572         0.13624E+06
       0.0000      33754.2849         0.13867E+06
       0.0000      33794.6126         0.14116E+06
       0.0000      33834.9403         0.14371E+06
       0.0000      33875.2680         0.14632E+06
       0.0000      33915.5957         0.14900E+06
       0.0000      33955.9234         0.15175E+06
       0.0000      33996.2511         0.15457E+06
       0.0000      34036.5788         0.15746E+06
       0.0000      34076.9065         0.16042E+06
       0.0000      34117.2342         0.16346E+06
       0.0000      34157.5619         0.16659E+06
       0.0000      34197.8896         0.16979E+06
       0.0000      34238.2173         0.17308E+06
       0.0000      34278.5450         0.17647E+06
       0.0000      34318.8727         0.17994E+06
       0.0000      34359.2004         0.18351E+06
       0.0000      34399.5281         0.18718E+06
       0.0000      34439.8558         0.19096E+06
       0.0000      34480.1835         0.19484E+06
       0.0000      34520.5112         0.19883E+06
       0.0000      34560.8389         0.20294E+06
       0.0000      34601.1666         0.20718E+06
       0.0000      34641.4943         0.21153E+06
       0.0000      34681.8220         0.21602E+06
       0.0000      34722.1497         0.22064E+06
       0.0000      34762.4774         0.22541E+06
       0.0000      34802.8051         0.23032E+06
       0.0000      34843.1328         0.23539E+06
       0.0000      34883.4605         0.24062E+06
       0.0000      34923.7882         0.24602E+06
       0.0000      34964.1159         0.25159E+06
       0.0000      35004.4436         0.25735E+06
       0.0000      35044.7713         0.26330E+06
       0.0000      35085.0990         0.26945E+06
       0.0000      35125.4267         0.27581E+06
       0.0000      35165.7544         0.28240E+06
       0.0000      35206.0821         0.28921E+06
       0.0000      35246.4098         0.29627E+06
       0.0000      35286.7375         0.30358E+06
