# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     5.0350  eV
#     vib freq     dsigma/dOmega
       0.0000         0.31037E+07
      23.6997         0.20924E+03
      40.6518         0.14605E+02
      53.9545         0.14352E+03
      62.8630         0.17542E+02
      69.5887         0.70022E+03
     101.7442         0.65790E+04
     118.2485         0.45794E+03
     138.7096         0.50081E+03
     149.1788         0.86703E+02
     159.8440         0.55828E+01
     167.9592         0.76410E+02
     175.7391         0.12814E+03
     183.5732         0.29869E+01
     192.1327         0.16819E+03
     224.4472         0.46360E+01
     254.1260         0.41534E+02
     282.0351         0.63715E+02
     305.9821         0.22093E+03
     309.8139         0.31799E+03
     325.0444         0.83576E+02
     344.1425         0.82432E+03
     395.8559         0.32772E+02
     415.6368         0.61459E+04
     431.5848         0.10029E+03
     438.6288         0.32499E+04
     465.4921         0.12991E+04
     482.3865         0.18973E+05
     531.9302         0.50752E+03
     567.0993         0.60767E+04
     608.9594         0.19582E+05
     625.2400         0.25974E+04
     636.2482         0.27260E+05
     684.2638         0.19213E+03
     762.3259         0.68519E+03
     766.6493         0.37383E+05
     783.2079         0.48198E+03
     809.4517         0.22825E+03
     825.0917         0.33421E+05
     882.3865         0.23923E+04
     912.2086         0.74988E+03
     956.4500         0.58513E+01
    1012.2769         0.23897E+05
    1051.7976         0.40293E+04
    1080.6899         0.28994E+02
    1201.8191         0.41413E+05
    1248.7788         0.25957E+04
    1270.7560         0.14121E+06
    1397.0368         0.29025E+06
    1429.4934         0.73670E+02
    1470.7923         0.43701E+01
    1478.7287         0.34832E+05
    1492.2555         0.43473E+04
    1504.5582         0.44091E+05
    1552.3293         0.43919E+04
    1594.8073         0.14627E+04
    1606.2932         0.33951E+04
    1633.1116         0.55691E+04
    1669.2503         0.18105E+05
    1710.0514         0.95638E+05
    1726.4697         0.50504E+06
    1749.6754         0.53592E+05
    3059.8482         0.20036E+04
    3117.0181         0.65060E-02
    3144.5536         0.46372E+03
    3234.9849         0.11908E+05
    3295.0749         0.52455E+04
    3410.5667         0.12103E+04
    3434.6024         0.49833E+04
    3523.2178         0.13922E+04
    3668.4810         0.30861E+03
    3695.2025         0.38595E+03
    3734.8106         0.45979E+03
    3879.3355         0.38362E+00
    3892.8912         0.29182E+02
    3896.9960         0.24538E+02
