# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.19582E+05
       0.0000      32302.4877         0.19706E+05
       0.0000      32342.8154         0.19831E+05
       0.0000      32383.1431         0.19958E+05
       0.0000      32423.4708         0.20085E+05
       0.0000      32463.7985         0.20213E+05
       0.0000      32504.1262         0.20342E+05
       0.0000      32544.4539         0.20473E+05
       0.0000      32584.7816         0.20605E+05
       0.0000      32625.1093         0.20738E+05
       0.0000      32665.4370         0.20872E+05
       0.0000      32705.7647         0.21007E+05
       0.0000      32746.0924         0.21143E+05
       0.0000      32786.4201         0.21281E+05
       0.0000      32826.7478         0.21419E+05
       0.0000      32867.0755         0.21559E+05
       0.0000      32907.4032         0.21701E+05
       0.0000      32947.7309         0.21843E+05
       0.0000      32988.0586         0.21987E+05
       0.0000      33028.3863         0.22132E+05
       0.0000      33068.7140         0.22278E+05
       0.0000      33109.0417         0.22426E+05
       0.0000      33149.3694         0.22574E+05
       0.0000      33189.6971         0.22725E+05
       0.0000      33230.0248         0.22876E+05
       0.0000      33270.3525         0.23029E+05
       0.0000      33310.6802         0.23183E+05
       0.0000      33351.0079         0.23339E+05
       0.0000      33391.3356         0.23496E+05
       0.0000      33431.6633         0.23655E+05
       0.0000      33471.9910         0.23815E+05
       0.0000      33512.3187         0.23976E+05
       0.0000      33552.6464         0.24139E+05
       0.0000      33592.9741         0.24303E+05
       0.0000      33633.3018         0.24469E+05
       0.0000      33673.6295         0.24637E+05
       0.0000      33713.9572         0.24806E+05
       0.0000      33754.2849         0.24976E+05
       0.0000      33794.6126         0.25148E+05
       0.0000      33834.9403         0.25322E+05
       0.0000      33875.2680         0.25497E+05
       0.0000      33915.5957         0.25674E+05
       0.0000      33955.9234         0.25853E+05
       0.0000      33996.2511         0.26033E+05
       0.0000      34036.5788         0.26215E+05
       0.0000      34076.9065         0.26398E+05
       0.0000      34117.2342         0.26584E+05
       0.0000      34157.5619         0.26771E+05
       0.0000      34197.8896         0.26960E+05
       0.0000      34238.2173         0.27150E+05
       0.0000      34278.5450         0.27343E+05
       0.0000      34318.8727         0.27537E+05
       0.0000      34359.2004         0.27733E+05
       0.0000      34399.5281         0.27931E+05
       0.0000      34439.8558         0.28131E+05
       0.0000      34480.1835         0.28333E+05
       0.0000      34520.5112         0.28537E+05
       0.0000      34560.8389         0.28742E+05
       0.0000      34601.1666         0.28950E+05
       0.0000      34641.4943         0.29160E+05
       0.0000      34681.8220         0.29371E+05
       0.0000      34722.1497         0.29585E+05
       0.0000      34762.4774         0.29801E+05
       0.0000      34802.8051         0.30019E+05
       0.0000      34843.1328         0.30239E+05
       0.0000      34883.4605         0.30461E+05
       0.0000      34923.7882         0.30686E+05
       0.0000      34964.1159         0.30913E+05
       0.0000      35004.4436         0.31142E+05
       0.0000      35044.7713         0.31373E+05
       0.0000      35085.0990         0.31606E+05
       0.0000      35125.4267         0.31842E+05
       0.0000      35165.7544         0.32080E+05
       0.0000      35206.0821         0.32321E+05
       0.0000      35246.4098         0.32564E+05
       0.0000      35286.7375         0.32809E+05
       0.0000      35327.0652         0.33057E+05
       0.0000      35367.3929         0.33307E+05
       0.0000      35407.7206         0.33560E+05
       0.0000      35448.0483         0.33816E+05
       0.0000      35488.3760         0.34074E+05
       0.0000      35528.7037         0.34335E+05
       0.0000      35569.0314         0.34598E+05
       0.0000      35609.3591         0.34864E+05
       0.0000      35649.6868         0.35133E+05
       0.0000      35690.0145         0.35405E+05
       0.0000      35730.3422         0.35679E+05
       0.0000      35770.6699         0.35956E+05
       0.0000      35810.9976         0.36236E+05
       0.0000      35851.3253         0.36520E+05
       0.0000      35891.6530         0.36806E+05
       0.0000      35931.9807         0.37095E+05
       0.0000      35972.3084         0.37387E+05
       0.0000      36012.6361         0.37682E+05
       0.0000      36052.9638         0.37980E+05
       0.0000      36093.2915         0.38282E+05
       0.0000      36133.6192         0.38586E+05
       0.0000      36173.9469         0.38894E+05
       0.0000      36214.2746         0.39205E+05
       0.0000      36254.6023         0.39520E+05
       0.0000      36294.9300         0.39838E+05
       0.0000      36335.2577         0.40159E+05
       0.0000      36375.5854         0.40484E+05
       0.0000      36415.9131         0.40812E+05
       0.0000      36456.2408         0.41144E+05
       0.0000      36496.5685         0.41479E+05
       0.0000      36536.8962         0.41818E+05
       0.0000      36577.2239         0.42161E+05
       0.0000      36617.5516         0.42507E+05
       0.0000      36657.8793         0.42858E+05
       0.0000      36698.2070         0.43212E+05
       0.0000      36738.5347         0.43570E+05
       0.0000      36778.8624         0.43932E+05
       0.0000      36819.1901         0.44299E+05
       0.0000      36859.5178         0.44669E+05
       0.0000      36899.8455         0.45043E+05
       0.0000      36940.1732         0.45422E+05
       0.0000      36980.5009         0.45805E+05
       0.0000      37020.8286         0.46192E+05
       0.0000      37061.1563         0.46583E+05
       0.0000      37101.4840         0.46980E+05
       0.0000      37141.8117         0.47380E+05
       0.0000      37182.1394         0.47785E+05
       0.0000      37222.4671         0.48195E+05
       0.0000      37262.7948         0.48609E+05
       0.0000      37303.1225         0.49029E+05
       0.0000      37343.4502         0.49453E+05
       0.0000      37383.7779         0.49882E+05
       0.0000      37424.1056         0.50316E+05
       0.0000      37464.4333         0.50755E+05
       0.0000      37504.7610         0.51199E+05
       0.0000      37545.0887         0.51649E+05
       0.0000      37585.4164         0.52103E+05
       0.0000      37625.7441         0.52563E+05
       0.0000      37666.0718         0.53029E+05
       0.0000      37706.3995         0.53500E+05
       0.0000      37746.7272         0.53977E+05
       0.0000      37787.0549         0.54459E+05
       0.0000      37827.3826         0.54947E+05
       0.0000      37867.7103         0.55442E+05
       0.0000      37908.0380         0.55942E+05
       0.0000      37948.3657         0.56448E+05
       0.0000      37988.6934         0.56960E+05
       0.0000      38029.0211         0.57479E+05
       0.0000      38069.3488         0.58003E+05
       0.0000      38109.6765         0.58535E+05
       0.0000      38150.0042         0.59073E+05
       0.0000      38190.3319         0.59617E+05
       0.0000      38230.6596         0.60169E+05
       0.0000      38270.9873         0.60727E+05
       0.0000      38311.3150         0.61292E+05
       0.0000      38351.6427         0.61864E+05
       0.0000      38391.9704         0.62443E+05
       0.0000      38432.2981         0.63030E+05
       0.0000      38472.6258         0.63624E+05
       0.0000      38512.9535         0.64226E+05
       0.0000      38553.2812         0.64835E+05
       0.0000      38593.6089         0.65453E+05
       0.0000      38633.9366         0.66078E+05
       0.0000      38674.2643         0.66711E+05
       0.0000      38714.5920         0.67352E+05
       0.0000      38754.9197         0.68002E+05
       0.0000      38795.2474         0.68660E+05
       0.0000      38835.5751         0.69327E+05
       0.0000      38875.9028         0.70002E+05
       0.0000      38916.2305         0.70687E+05
       0.0000      38956.5582         0.71380E+05
       0.0000      38996.8859         0.72083E+05
       0.0000      39037.2136         0.72795E+05
       0.0000      39077.5413         0.73516E+05
       0.0000      39117.8690         0.74247E+05
       0.0000      39158.1967         0.74988E+05
       0.0000      39198.5244         0.75739E+05
       0.0000      39238.8521         0.76501E+05
       0.0000      39279.1798         0.77272E+05
       0.0000      39319.5075         0.78054E+05
       0.0000      39359.8352         0.78847E+05
       0.0000      39400.1629         0.79651E+05
       0.0000      39440.4906         0.80466E+05
       0.0000      39480.8183         0.81292E+05
       0.0000      39521.1460         0.82130E+05
       0.0000      39561.4737         0.82980E+05
       0.0000      39601.8014         0.83841E+05
       0.0000      39642.1291         0.84715E+05
       0.0000      39682.4568         0.85601E+05
       0.0000      39722.7845         0.86499E+05
