 # Mode   Huang-Rhys factor
           1  0.212167561045763     
           2  0.173477953079937     
           3  3.046909557325732E-004
           4  0.106451922304859     
           5  1.742270334340357E-002
           6  3.420563359736628E-003
           7  6.963484811104283E-003
           8  2.236747983638575E-004
           9  0.163322776484465     
          10  5.995304897138578E-003
          11  4.360352955735430E-003
          12  1.734066573496924E-002
          13  8.963398576472442E-003
          14  4.603443775958545E-002
          15  2.510311439927349E-002
          16  6.414635287491335E-005
          17  1.875979896539339E-003
          18  7.272819340898250E-003
          19  1.620742346397152E-002
          20  1.539848240834867E-003
          21  1.002296869358149E-002
          22  1.356541302255466E-005
          23  0.221063968658250     
          24  3.155381287051675E-003
          25  0.124077693076173     
          26  1.864599111625682E-002
          27  0.101095168113149     
          28  5.544497600253545E-003
          29  8.043900509357167E-003
          30  4.131307678288110E-004
          31  1.586135349945120E-003
          32  2.755791345677465E-002
          33  3.563894441897200E-003
          34  2.272068108021048E-002
          35  0.484759866778531     
          36  5.022100314170441E-003
          37  1.414991045720318E-005
          38  0.299618635634367     
          39  6.674290734471894E-007
          40  5.705725343359454E-004
          41  2.973247417135394E-005
          42  8.224357538279242E-002
          43  7.169293214918745E-002
          44  9.946249423113004E-005
          45  1.686650564478421E-003
          46  0.264526670143091     
          47  2.123747203706566E-002
          48  7.395113642237443E-002
          49  2.249625867462963E-003
          50  1.687643800102013E-006
          51  9.433783827169408E-002
          52  1.696340665368381E-002
          53  0.468024383208620     
          54  0.895483243193401     
          55  4.175558522581594E-003
          56  8.178652532354213E-004
          57  5.665095902301279E-006
          58  9.703580573384948E-004
          59  4.343878077306711E-004
          60  0.227258902479421     
          61  2.294572800232544E-002
          62  1.810953159439212E-003
          63  3.710357368950612E-006
          64  7.937923407542259E-004
          65  1.638139177289328E-004
          66  3.667067043193202E-004
          67  1.302075543527423E-008
          68  4.561568338491225E-004
          69  1.508856045065583E-005
          70  2.284182142394987E-004
          71  5.504631914769557E-004
          72  4.708314629702591E-004
          73  2.349355093743081E-007
          74  8.650203757891739E-008
          75  2.255448614594634E-005
