# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     6.7650  eV
#     vib freq     dsigma/dOmega
       0.0000         0.10150E+07
      23.6997         0.48477E+01
      40.6518         0.42018E+00
      53.9545         0.56744E+01
      62.8630         0.58622E-01
      69.5887         0.81028E+00
     101.7442         0.41181E+01
     118.2485         0.16977E+02
     138.7096         0.27474E+03
     149.1788         0.13938E+03
     159.8440         0.51160E+00
     167.9592         0.12692E+03
     175.7391         0.14723E+02
     183.5732         0.55533E+02
     192.1327         0.10096E+02
     224.4472         0.50956E+02
     254.1260         0.49048E+00
     282.0351         0.10679E+02
     305.9821         0.15303E+01
     309.8139         0.30456E+02
     325.0444         0.66084E+01
     344.1425         0.17680E+03
     395.8559         0.24150E+02
     415.6368         0.13274E+04
     431.5848         0.12944E+03
     438.6288         0.13228E+04
     465.4921         0.68198E+01
     482.3865         0.62339E+02
     531.9302         0.48091E+03
     567.0993         0.20366E+04
     608.9594         0.28568E+03
     625.2400         0.81582E+03
     636.2482         0.32056E+04
     684.2638         0.48471E+01
     762.3259         0.38944E+01
     766.6493         0.23272E+04
     783.2079         0.76189E+02
     809.4517         0.13906E+03
     825.0917         0.94763E+04
     882.3865         0.97760E+03
     912.2086         0.50172E+03
     956.4500         0.24375E+01
    1012.2769         0.11737E+05
    1051.7976         0.17388E+01
    1080.6899         0.37145E+01
    1201.8191         0.31223E+05
    1248.7788         0.17156E+05
    1270.7560         0.29244E+05
    1397.0368         0.13306E+05
    1429.4934         0.54653E+03
    1470.7923         0.50984E+00
    1478.7287         0.12822E+05
    1492.2555         0.16120E+05
    1504.5582         0.18779E+06
    1552.3293         0.80669E+05
    1594.8073         0.67108E+02
    1606.2932         0.26122E+04
    1633.1116         0.28868E+04
    1669.2503         0.15897E+05
    1710.0514         0.13141E+06
    1726.4697         0.10984E+04
    1749.6754         0.44182E+05
    3059.8482         0.18862E+03
    3117.0181         0.13292E-02
    3144.5536         0.76703E-01
    3234.9849         0.24380E+04
    3295.0749         0.46644E+04
    3410.5667         0.18587E+03
    3434.6024         0.58769E+03
    3523.2178         0.50383E+02
    3668.4810         0.39292E+03
    3695.2025         0.47624E+03
    3734.8106         0.46584E+03
    3879.3355         0.99256E+00
    3892.8912         0.11631E+01
    3896.9960         0.31401E+02
