  Pre-resonance RR spectrum
  According to gradient approx. in arb. units
  
   Raman shift(cm-1)     Intensity(arb units)
   23.6997352419354       1.354108845247332E-008
   40.6517816006634       9.400630331734588E-010
   53.9544965264917       9.205729132972802E-009
   62.8630171491630       1.123060852891891E-009
   69.5886825212930       4.477518738227539E-008
   101.744224029482       4.195422390086528E-007
   118.248472730226       2.922207695599822E-008
   138.709570169578       3.205103609537133E-008
   149.178783859682       5.562064998547189E-009
   159.843988739577       3.592355066139608E-010
   167.959132412470       4.930296825058441E-009
   175.739091131377       8.292742328444615E-009
   183.573184452196       1.939479700637534E-010
   192.132660968712       1.096474486706333E-008
   224.447165862640       3.078926042924553E-010
   254.125933956761       2.817962062141815E-009
   282.035047395118       4.424765785948415E-009
   305.982024094330       1.568375990315274E-008
   309.813905632099       2.265734041517609E-008
   325.044325309661       6.044205993101293E-009
   344.142441433074       6.077698525120487E-008
   395.855816743411       2.551471511458920E-009
   415.636767405925       4.887313863038103E-007
   431.584707601711       8.111872815272850E-009
   438.628768017273       2.648605659594622E-007
   465.491986533697       1.089204052030928E-007
   482.386413309967       1.619111097696125E-006
   531.930171000887       4.555413024068447E-008
   567.099239704225       5.647762024405113E-007
   608.959282169616       1.895458290335851E-006
   625.239905284843       2.553694545978922E-007
   636.248071213416       2.708507064718546E-006
   684.263726095192       1.998208510697695E-008
   762.325752903034       7.668897032197193E-008
   766.649180157236       4.200928819780925E-006
   783.207809651384       5.499737015190327E-008
   809.451631467583       2.667557330497681E-008
   825.091633039753       3.961049128148273E-006
   882.386415533503       2.978593207259277E-007
   912.208516073397       9.563353438922497E-008
   956.449845373117       7.712326189950495E-010
   1012.27673121049       3.266532572740925E-006
   1051.79740567240       5.628873941413814E-007
   1080.68978806951       4.105776866735147E-009
   1201.81892460342       6.042134255353767E-006
   1248.77866510322       3.775440867228145E-007
   1270.75585334993       2.044364767432952E-005
   1397.03663766636       3.944329463040558E-005
   1429.49322272196       9.779760708887002E-009
   1470.79209011455       5.623474258682644E-010
   1478.72849558711       4.455296894330870E-006
   1492.25531580604       5.504286786421610E-007
   1504.55799205295       5.531679493655514E-006
   1552.32905066910       5.326595583289503E-007
   1594.80705219751       1.726381806848544E-007
   1606.29292884899       3.979847416627361E-007
   1633.11133670488       6.429813261301747E-007
   1669.25002802677       2.050853022089056E-006
   1710.05115924375       1.061810844819773E-005
   1726.46945688145       5.563562308782970E-005
   1749.67514635566       5.840115036643821E-006
   3059.84780310493       3.824317856093237E-007
   3117.01761777200       1.239599347079378E-012
   3144.55318670806       8.773972926419623E-008
   3234.98447545953       2.158681440299760E-006
   3295.07446911818       9.194719859918556E-007
   3410.56623020588       2.038677053706992E-007
   3434.60192156542       8.379295122713912E-007
   3523.21729447624       2.372311486236608E-007
   3668.48046022784       5.640203386204901E-008
   3695.20194163983       7.173006004477685E-008
   3734.81007365276       8.771463118233571E-008
   3879.33499759780       8.108430368434970E-011
   3892.89061514769       6.229364479617631E-009
   3896.99547226871       5.253889773577274E-009
