 # full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
 #at incident freq = ABS maximum    6.27500000000000        eV
 #    vib freq     dsigma/dOmega
       0.0000         0.47651E+07
      23.6997         0.27356E+02
      40.6518         0.58375E+02
      53.9545         0.85179E+00
      62.8630         0.85434E+02
      69.5887         0.21753E+02
     101.7442         0.44053E+02
     118.2485         0.21924E+02
     138.7096         0.99067E+01
     149.1788         0.74008E+03
     159.8440         0.31989E+02
     167.9591         0.35209E+02
     175.7391         0.11584E+03
     183.5732         0.63565E+02
     192.1327         0.36245E+03
     224.4472         0.28923E+03
     254.1259         0.14577E+01
     282.0350         0.36856E+02
     305.9820         0.17444E+03
     309.8139         0.42449E+03
     325.0443         0.46164E+02
     344.1424         0.34524E+03
     395.8558         0.97048E+00
     415.6368         0.11911E+05
     431.5847         0.19173E+03
     438.6288         0.75866E+04
     465.4920         0.13066E+04
     482.3864         0.77204E+04
     531.9302         0.53057E+03
     567.0992         0.87893E+03
     608.9593         0.26765E+03
     625.2399         0.20661E+03
     636.2481         0.36218E+04
     684.2637         0.53790E+03
     762.3258         0.40374E+04
     766.6492         0.86973E+05
     783.2078         0.93550E+03
     809.4516         0.68683E+01
     825.0916         0.61673E+05
     882.3864         0.30641E+02
     912.2085         0.17332E+03
     956.4498         0.86363E+01
    1012.2767         0.27965E+05
    1051.7974         0.28503E+05
    1080.6898         0.44116E+02
    1201.8189         0.18795E+04
    1248.7787         0.18552E+06
    1270.7559         0.19394E+05
    1397.0366         0.67897E+05
    1429.4932         0.21549E+04
    1470.7921         0.16577E+01
    1478.7285         0.93674E+05
    1492.2553         0.17605E+05
    1504.5580         0.48659E+06
    1552.3291         0.95486E+06
    1594.8071         0.46419E+04
    1606.2929         0.10077E+04
    1633.1113         0.75934E+02
    1669.2500         0.14762E+04
    1710.0512         0.20417E+04
    1726.4695         0.25995E+06
    1749.6751         0.26419E+05
    3059.8478         0.57117E+04
    3117.0176         0.12050E+02
    3144.5532         0.25573E+04
    3234.9845         0.78758E+03
    3295.0745         0.12374E+04
    3410.5662         0.36530E+02
    3434.6019         0.15420E+04
    3523.2173         0.11057E+03
    3668.4805         0.81701E+03
    3695.2019         0.19444E+04
    3734.8101         0.16784E+04
    3879.3350         0.78803E+00
    3892.8906         0.18163E+01
    3896.9955         0.80506E+02
