 full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
      vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.15884E+06
       0.0000      32302.4877         0.16066E+06
       0.0000      32342.8154         0.16251E+06
       0.0000      32383.1431         0.16439E+06
       0.0000      32423.4708         0.16630E+06
       0.0000      32463.7985         0.16825E+06
       0.0000      32504.1262         0.17023E+06
       0.0000      32544.4539         0.17224E+06
       0.0000      32584.7816         0.17429E+06
       0.0000      32625.1093         0.17637E+06
       0.0000      32665.4370         0.17850E+06
       0.0000      32705.7647         0.18066E+06
       0.0000      32746.0924         0.18285E+06
       0.0000      32786.4201         0.18509E+06
       0.0000      32826.7478         0.18737E+06
       0.0000      32867.0755         0.18969E+06
       0.0000      32907.4032         0.19205E+06
       0.0000      32947.7309         0.19446E+06
       0.0000      32988.0586         0.19691E+06
       0.0000      33028.3863         0.19941E+06
       0.0000      33068.7140         0.20196E+06
       0.0000      33109.0417         0.20455E+06
       0.0000      33149.3694         0.20720E+06
       0.0000      33189.6971         0.20990E+06
       0.0000      33230.0248         0.21264E+06
       0.0000      33270.3525         0.21545E+06
       0.0000      33310.6802         0.21831E+06
       0.0000      33351.0079         0.22122E+06
       0.0000      33391.3356         0.22420E+06
       0.0000      33431.6633         0.22723E+06
       0.0000      33471.9910         0.23033E+06
       0.0000      33512.3187         0.23349E+06
       0.0000      33552.6464         0.23671E+06
       0.0000      33592.9741         0.24001E+06
       0.0000      33633.3018         0.24337E+06
       0.0000      33673.6295         0.24681E+06
       0.0000      33713.9572         0.25032E+06
       0.0000      33754.2849         0.25391E+06
       0.0000      33794.6126         0.25757E+06
       0.0000      33834.9403         0.26131E+06
       0.0000      33875.2680         0.26514E+06
       0.0000      33915.5957         0.26905E+06
       0.0000      33955.9234         0.27305E+06
       0.0000      33996.2511         0.27715E+06
       0.0000      34036.5788         0.28133E+06
       0.0000      34076.9065         0.28562E+06
       0.0000      34117.2342         0.29001E+06
       0.0000      34157.5619         0.29450E+06
       0.0000      34197.8896         0.29910E+06
       0.0000      34238.2173         0.30381E+06
       0.0000      34278.5450         0.30864E+06
       0.0000      34318.8727         0.31358E+06
       0.0000      34359.2004         0.31865E+06
       0.0000      34399.5281         0.32384E+06
       0.0000      34439.8558         0.32917E+06
       0.0000      34480.1835         0.33463E+06
       0.0000      34520.5112         0.34024E+06
       0.0000      34560.8389         0.34600E+06
       0.0000      34601.1666         0.35191E+06
       0.0000      34641.4943         0.35797E+06
       0.0000      34681.8220         0.36421E+06
       0.0000      34722.1497         0.37061E+06
       0.0000      34762.4774         0.37720E+06
       0.0000      34802.8051         0.38397E+06
       0.0000      34843.1328         0.39093E+06
       0.0000      34883.4605         0.39809E+06
       0.0000      34923.7882         0.40547E+06
       0.0000      34964.1159         0.41306E+06
       0.0000      35004.4436         0.42089E+06
       0.0000      35044.7713         0.42895E+06
       0.0000      35085.0990         0.43726E+06
       0.0000      35125.4267         0.44583E+06
       0.0000      35165.7544         0.45467E+06
       0.0000      35206.0821         0.46381E+06
       0.0000      35246.4098         0.47324E+06
       0.0000      35286.7375         0.48297E+06
       0.0000      35327.0652         0.49305E+06
       0.0000      35367.3929         0.50346E+06
       0.0000      35407.7206         0.51424E+06
       0.0000      35448.0483         0.52540E+06
       0.0000      35488.3760         0.53696E+06
       0.0000      35528.7037         0.54895E+06
       0.0000      35569.0314         0.56138E+06
       0.0000      35609.3591         0.57428E+06
       0.0000      35649.6868         0.58768E+06
       0.0000      35690.0145         0.60162E+06
       0.0000      35730.3422         0.61610E+06
       0.0000      35770.6699         0.63118E+06
       0.0000      35810.9976         0.64688E+06
       0.0000      35851.3253         0.66325E+06
       0.0000      35891.6530         0.68033E+06
       0.0000      35931.9807         0.69817E+06
       0.0000      35972.3084         0.71682E+06
       0.0000      36012.6361         0.73633E+06
       0.0000      36052.9638         0.75677E+06
       0.0000      36093.2915         0.77820E+06
       0.0000      36133.6192         0.80068E+06
       0.0000      36173.9469         0.82431E+06
       0.0000      36214.2746         0.84917E+06
       0.0000      36254.6023         0.87535E+06
       0.0000      36294.9300         0.90297E+06
       0.0000      36335.2577         0.93214E+06
       0.0000      36375.5854         0.96300E+06
       0.0000      36415.9131         0.99568E+06
       0.0000      36456.2408         0.10304E+07
       0.0000      36496.5685         0.10672E+07
       0.0000      36536.8962         0.11064E+07
       0.0000      36577.2239         0.11481E+07
       0.0000      36617.5516         0.11927E+07
       0.0000      36657.8793         0.12403E+07
       0.0000      36698.2070         0.12912E+07
       0.0000      36738.5347         0.13456E+07
       0.0000      36778.8624         0.14040E+07
       0.0000      36819.1901         0.14664E+07
       0.0000      36859.5178         0.15331E+07
       0.0000      36899.8455         0.16041E+07
       0.0000      36940.1732         0.16793E+07
       0.0000      36980.5009         0.17583E+07
       0.0000      37020.8286         0.18401E+07
       0.0000      37061.1563         0.19234E+07
       0.0000      37101.4840         0.20056E+07
       0.0000      37141.8117         0.20836E+07
       0.0000      37182.1394         0.21534E+07
       0.0000      37222.4671         0.22105E+07
       0.0000      37262.7948         0.22510E+07
       0.0000      37303.1225         0.22721E+07
       0.0000      37343.4502         0.22732E+07
       0.0000      37383.7779         0.22562E+07
       0.0000      37424.1056         0.22249E+07
       0.0000      37464.4333         0.21852E+07
       0.0000      37504.7610         0.21433E+07
       0.0000      37545.0887         0.21050E+07
       0.0000      37585.4164         0.20752E+07
       0.0000      37625.7441         0.20567E+07
       0.0000      37666.0718         0.20510E+07
       0.0000      37706.3995         0.20577E+07
       0.0000      37746.7272         0.20749E+07
       0.0000      37787.0549         0.21001E+07
       0.0000      37827.3826         0.21306E+07
       0.0000      37867.7103         0.21637E+07
       0.0000      37908.0380         0.21970E+07
       0.0000      37948.3657         0.22290E+07
       0.0000      37988.6934         0.22591E+07
       0.0000      38029.0211         0.22871E+07
       0.0000      38069.3488         0.23138E+07
       0.0000      38109.6765         0.23407E+07
       0.0000      38150.0042         0.23696E+07
       0.0000      38190.3319         0.24026E+07
       0.0000      38230.6596         0.24421E+07
       0.0000      38270.9873         0.24902E+07
       0.0000      38311.3150         0.25483E+07
       0.0000      38351.6427         0.26173E+07
       0.0000      38391.9704         0.26971E+07
       0.0000      38432.2981         0.27865E+07
       0.0000      38472.6258         0.28829E+07
       0.0000      38512.9535         0.29830E+07
       0.0000      38553.2812         0.30827E+07
       0.0000      38593.6089         0.31775E+07
       0.0000      38633.9366         0.32635E+07
       0.0000      38674.2643         0.33373E+07
       0.0000      38714.5920         0.33972E+07
       0.0000      38754.9197         0.34429E+07
       0.0000      38795.2474         0.34759E+07
       0.0000      38835.5751         0.34984E+07
       0.0000      38875.9028         0.35131E+07
       0.0000      38916.2305         0.35223E+07
       0.0000      38956.5582         0.35270E+07
       0.0000      38996.8859         0.35271E+07
       0.0000      39037.2136         0.35216E+07
       0.0000      39077.5413         0.35093E+07
       0.0000      39117.8690         0.34894E+07
       0.0000      39158.1967         0.34619E+07
       0.0000      39198.5244         0.34279E+07
       0.0000      39238.8521         0.33892E+07
       0.0000      39279.1798         0.33484E+07
       0.0000      39319.5075         0.33077E+07
       0.0000      39359.8352         0.32692E+07
       0.0000      39400.1629         0.32345E+07
       0.0000      39440.4906         0.32046E+07
       0.0000      39480.8183         0.31796E+07
       0.0000      39521.1460         0.31596E+07
       0.0000      39561.4737         0.31444E+07
       0.0000      39601.8014         0.31336E+07
       0.0000      39642.1291         0.31268E+07
       0.0000      39682.4568         0.31241E+07
       0.0000      39722.7845         0.31251E+07
       0.0000      39763.1122         0.31299E+07
       0.0000      39803.4399         0.31381E+07
       0.0000      39843.7676         0.31494E+07
       0.0000      39884.0953         0.31633E+07
       0.0000      39924.4230         0.31794E+07
       0.0000      39964.7507         0.31971E+07
       0.0000      40005.0784         0.32159E+07
       0.0000      40045.4061         0.32357E+07
       0.0000      40085.7338         0.32562E+07
       0.0000      40126.0615         0.32776E+07
       0.0000      40166.3892         0.32997E+07
       0.0000      40206.7169         0.33227E+07
       0.0000      40247.0446         0.33461E+07
       0.0000      40287.3723         0.33692E+07
       0.0000      40327.7000         0.33909E+07
       0.0000      40368.0277         0.34097E+07
       0.0000      40408.3554         0.34240E+07
       0.0000      40448.6831         0.34324E+07
       0.0000      40489.0108         0.34340E+07
       0.0000      40529.3385         0.34284E+07
       0.0000      40569.6662         0.34161E+07
       0.0000      40609.9939         0.33982E+07
       0.0000      40650.3216         0.33759E+07
       0.0000      40690.6493         0.33506E+07
       0.0000      40730.9770         0.33231E+07
       0.0000      40771.3047         0.32939E+07
       0.0000      40811.6324         0.32633E+07
       0.0000      40851.9601         0.32312E+07
       0.0000      40892.2878         0.31977E+07
       0.0000      40932.6155         0.31629E+07
       0.0000      40972.9432         0.31272E+07
       0.0000      41013.2709         0.30911E+07
