 full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
      vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.81792E+05
       0.0000      32302.4877         0.82992E+05
       0.0000      32342.8154         0.84215E+05
       0.0000      32383.1431         0.85462E+05
       0.0000      32423.4708         0.86734E+05
       0.0000      32463.7985         0.88030E+05
       0.0000      32504.1262         0.89352E+05
       0.0000      32544.4539         0.90700E+05
       0.0000      32584.7816         0.92075E+05
       0.0000      32625.1093         0.93478E+05
       0.0000      32665.4370         0.94909E+05
       0.0000      32705.7647         0.96370E+05
       0.0000      32746.0924         0.97860E+05
       0.0000      32786.4201         0.99381E+05
       0.0000      32826.7478         0.10093E+06
       0.0000      32867.0755         0.10252E+06
       0.0000      32907.4032         0.10414E+06
       0.0000      32947.7309         0.10579E+06
       0.0000      32988.0586         0.10747E+06
       0.0000      33028.3863         0.10920E+06
       0.0000      33068.7140         0.11096E+06
       0.0000      33109.0417         0.11276E+06
       0.0000      33149.3694         0.11459E+06
       0.0000      33189.6971         0.11647E+06
       0.0000      33230.0248         0.11839E+06
       0.0000      33270.3525         0.12035E+06
       0.0000      33310.6802         0.12236E+06
       0.0000      33351.0079         0.12441E+06
       0.0000      33391.3356         0.12651E+06
       0.0000      33431.6633         0.12866E+06
       0.0000      33471.9910         0.13085E+06
       0.0000      33512.3187         0.13310E+06
       0.0000      33552.6464         0.13540E+06
       0.0000      33592.9741         0.13775E+06
       0.0000      33633.3018         0.14016E+06
       0.0000      33673.6295         0.14263E+06
       0.0000      33713.9572         0.14515E+06
       0.0000      33754.2849         0.14774E+06
       0.0000      33794.6126         0.15039E+06
       0.0000      33834.9403         0.15311E+06
       0.0000      33875.2680         0.15589E+06
       0.0000      33915.5957         0.15875E+06
       0.0000      33955.9234         0.16167E+06
       0.0000      33996.2511         0.16468E+06
       0.0000      34036.5788         0.16775E+06
       0.0000      34076.9065         0.17091E+06
       0.0000      34117.2342         0.17415E+06
       0.0000      34157.5619         0.17748E+06
       0.0000      34197.8896         0.18090E+06
       0.0000      34238.2173         0.18441E+06
       0.0000      34278.5450         0.18801E+06
       0.0000      34318.8727         0.19171E+06
       0.0000      34359.2004         0.19552E+06
       0.0000      34399.5281         0.19943E+06
       0.0000      34439.8558         0.20345E+06
       0.0000      34480.1835         0.20758E+06
       0.0000      34520.5112         0.21184E+06
       0.0000      34560.8389         0.21622E+06
       0.0000      34601.1666         0.22072E+06
       0.0000      34641.4943         0.22536E+06
       0.0000      34681.8220         0.23015E+06
       0.0000      34722.1497         0.23507E+06
       0.0000      34762.4774         0.24015E+06
       0.0000      34802.8051         0.24538E+06
       0.0000      34843.1328         0.25078E+06
       0.0000      34883.4605         0.25635E+06
       0.0000      34923.7882         0.26210E+06
       0.0000      34964.1159         0.26804E+06
       0.0000      35004.4436         0.27418E+06
