 # full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
 #at incident freq = ABS maximum    6.48000000000000        eV
 #    vib freq     dsigma/dOmega
       0.0000         0.58327E+07
      23.6997         0.83351E+02
      40.6518         0.73119E+02
      53.9545         0.10525E+03
      62.8630         0.80308E+02
      69.5887         0.37053E+02
     101.7442         0.70300E+02
     118.2485         0.34564E+03
     138.7096         0.53111E+04
     149.1788         0.28555E+04
     159.8440         0.34303E+02
     167.9591         0.24246E+04
     175.7391         0.29924E+03
     183.5732         0.93684E+03
     192.1327         0.46279E+03
     224.4472         0.93164E+03
     254.1259         0.10319E+02
     282.0350         0.18140E+03
     305.9820         0.17617E+03
     309.8139         0.64606E+03
     325.0443         0.10146E+03
     344.1424         0.20661E+04
     395.8558         0.24330E+03
     415.6368         0.21893E+05
     431.5847         0.12352E+04
     438.6288         0.17669E+05
     465.4920         0.11412E+04
     482.3864         0.66024E+04
     531.9302         0.35499E+04
     567.0992         0.13793E+05
     608.9593         0.12821E+04
     625.2399         0.39480E+04
     636.2481         0.16348E+05
     684.2637         0.46854E+03
     762.3258         0.35469E+04
     766.6492         0.78511E+05
     783.2078         0.94810E+03
     809.4516         0.40652E+03
     825.0916         0.69991E+05
     882.3864         0.22631E+04
     912.2085         0.12446E+04
     956.4498         0.10180E+02
    1012.2767         0.35437E+05
    1051.7974         0.23848E+05
    1080.6898         0.46884E+02
    1201.8189         0.41819E+05
    1248.7787         0.18514E+06
    1270.7559         0.52641E+05
    1397.0366         0.52619E+05
    1429.4932         0.25838E+04
    1470.7921         0.21914E+01
    1478.7285         0.97286E+05
    1492.2553         0.35100E+05
    1504.5580         0.65384E+06
    1552.3291         0.89669E+06
    1594.8071         0.37544E+04
    1606.2929         0.38424E+04
    1633.1113         0.29651E+04
    1669.2500         0.19017E+05
    1710.0512         0.14801E+06
    1726.4695         0.20843E+06
    1749.6751         0.62870E+05
    3059.8478         0.54842E+04
    3117.0176         0.11719E+02
    3144.5532         0.25059E+04
    3234.9845         0.22257E+04
    3295.0745         0.55906E+04
    3410.5662         0.18654E+03
    3434.6019         0.22159E+04
    3523.2173         0.12903E+03
    3668.4805         0.12794E+04
    3695.2019         0.26167E+04
    3734.8101         0.23200E+04
    3879.3350         0.19033E+01
    3892.8906         0.22643E+01
    3896.9955         0.12138E+03
