 # Mode   Huang-Rhys factor
           1   2.25632202519176     
           2   1.52833461290043     
           3  0.142827669629464     
           4  4.888210471503135E-002
           5  0.106990795387045     
           6   1.88624405298642     
           7  8.250459943939188E-002
           8  1.159949517185964E-002
           9  0.329404216173485     
          10  8.996446235058972E-003
          11  5.977581386816346E-002
          12  0.333963912004561     
          13  4.540353698828010E-002
          14  1.447635653594775E-002
          15  2.692077212170294E-004
          16  2.770154356472346E-003
          17  2.506554104804191E-004
          18  8.277598594522546E-003
          19  4.656414042235043E-004
          20  3.550969257034104E-003
          21  0.111704841615985     
          22  3.014162291107513E-002
          23  5.001923018923314E-002
          24  1.035261525805714E-002
          25  0.147030601764815     
          26  8.073687715980797E-004
          27  0.120807472846976     
          28  6.179121851193849E-005
          29  9.355972488630721E-002
          30  0.567409674150833     
          31  7.569980859396056E-003
          32  1.875617657438905E-003
          33  7.758017501799042E-004
          34  1.457084568362785E-003
          35  0.177633456464662     
          36  4.111068428143749E-003
          37  4.059595885485099E-005
          38  2.346089537443307E-002
          39  1.812659712900785E-003
          40  1.234072739234750E-002
          41  9.597486966611999E-005
          42  0.195114307640130     
          43  0.193575754953459     
          44  1.443393615070045E-005
          45  3.731899707969011E-002
          46  0.143479951802797     
          47  4.380925920473339E-002
          48  1.384927613683292E-002
          49  9.107988346588604E-004
          50  1.245467994987021E-007
          51  0.353120629483054     
          52  8.342820338340964E-004
          53  2.692041153058359E-004
          54  0.301886057558657     
          55  7.558360435149917E-004
          56  1.673556050030882E-007
          57  1.647395675114046E-003
          58  1.715560451274644E-003
          59  2.235508574743133E-003
          60  1.224366800552749E-002
          61  0.857602913015523     
          62  2.613878622321104E-004
          63  1.530356258170641E-007
          64  1.441828504708119E-006
          65  1.077602215731418E-006
          66  3.867905038877834E-003
          67  2.060746373215606E-004
          68  2.136952528268417E-003
          69  1.898759162637363E-006
          70  2.753272158887125E-003
          71  1.177925503158692E-003
          72  2.213176358500412E-003
          73  1.228521938789183E-007
          74  3.201706510426709E-009
          75  3.404041476503631E-004
