 # Mode   Huang-Rhys factor
           1  0.203600486546796     
           2  0.209083079975952     
           3  3.002322130339790E-002
           4  2.896819207470127E-005
           5   1.13416045941456     
           6   2.36642999595028     
           7  0.141415629490221     
           8  0.954253796495393     
           9  4.933228347389801E-002
          10  9.446513010034351E-004
          11  0.432316841977139     
          12  1.462645400341137E-003
          13  3.538964284489017E-002
          14  3.451262306907565E-003
          15  1.839691587934438E-003
          16  1.221044643391731E-003
          17  1.459939269448031E-003
          18  0.112847024978145     
          19  1.329352712745955E-003
          20  1.892248258626523E-005
          21  3.696939828279164E-002
          22  1.100716613658407E-005
          23  0.183697775287998     
          24  1.622023840687685E-003
          25  4.166692458058896E-002
          26  1.016051266427458E-002
          27  0.204900022319850     
          28  9.508674255743851E-003
          29  5.848633760227256E-002
          30  0.325158596194909     
          31  4.807320247529575E-006
          32  9.069747885449973E-003
          33  2.019569520007427E-002
          34  7.241284734183276E-004
          35  1.829506489368713E-002
          36  3.630994558000002E-006
          37  1.126827189129781E-003
          38  7.024736390576747E-004
          39  1.046525661410749E-003
          40  5.811209732288209E-003
          41  2.610155932884723E-005
          42  7.120845253966393E-003
          43  1.097025964766947E-002
          44  3.862648506607808E-005
          45  4.420123624123069E-002
          46  5.969742113021164E-002
          47  5.582654993594261E-003
          48  0.109896814875532     
          49  7.856837607780689E-003
          50  2.744394057136227E-007
          51  0.100221847076504     
          52  1.086534693819950E-003
          53  7.442190871129352E-002
          54  7.187045061929753E-002
          55  1.331671069125095E-002
          56  4.116899438533270E-003
          57  2.065475297624035E-003
          58  5.099911082331656E-004
          59  6.523049324331773E-002
          60  0.374761715854574     
          61  4.370249317082325E-002
          62  1.031977659869316E-003
          63  9.350931052118971E-006
          64  9.391238460369781E-004
          65  1.191512899199583E-003
          66  1.089897346276151E-003
          67  1.855410013825587E-004
          68  1.162708408059315E-002
          69  3.036265504754336E-003
          70  2.315689813568177E-004
          71  6.373725459095490E-004
          72  7.503459645109832E-004
          73  1.933135584284802E-005
          74  8.607076803975916E-005
          75  2.192104454386453E-004
