# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     6.7640  eV
#     vib freq     dsigma/dOmega
       0.0000         0.10145E+07
      23.6997         0.48368E+01
      40.6518         0.42280E+00
      53.9545         0.57463E+01
      62.8630         0.59609E-01
      69.5887         0.82636E+00
     101.7442         0.42524E+01
     118.2485         0.17621E+02
     138.7096         0.28663E+03
     149.1788         0.14573E+03
     159.8440         0.53590E+00
     167.9592         0.13311E+03
     175.7391         0.15458E+02
     183.5732         0.58355E+02
     192.1327         0.10618E+02
     224.4472         0.53691E+02
     254.1260         0.51703E+00
     282.0351         0.11253E+02
     305.9821         0.16113E+01
     309.8139         0.32064E+02
     325.0444         0.69529E+01
     344.1425         0.18585E+03
     395.8559         0.25313E+02
     415.6368         0.13897E+04
     431.5848         0.13539E+03
     438.6288         0.13830E+04
     465.4921         0.71189E+01
     482.3865         0.65009E+02
     531.9302         0.50010E+03
     567.0993         0.21139E+04
     608.9594         0.29589E+03
     625.2400         0.84429E+03
     636.2482         0.33157E+04
     684.2638         0.50023E+01
     762.3259         0.40052E+01
     766.6493         0.23929E+04
     783.2079         0.78286E+02
     809.4517         0.14273E+03
     825.0917         0.97195E+04
     882.3865         0.10002E+04
     912.2086         0.51268E+03
     956.4500         0.24860E+01
    1012.2769         0.11942E+05
    1051.7976         0.17661E+01
    1080.6899         0.37680E+01
    1201.8191         0.31510E+05
    1248.7788         0.17281E+05
    1270.7560         0.29431E+05
    1397.0368         0.13332E+05
    1429.4934         0.54710E+03
    1470.7923         0.50982E+00
    1478.7287         0.12819E+05
    1492.2555         0.16111E+05
    1504.5582         0.18764E+06
    1552.3293         0.80530E+05
    1594.8073         0.66951E+02
    1606.2932         0.26058E+04
    1633.1116         0.28789E+04
    1669.2503         0.15849E+05
    1710.0514         0.13101E+06
    1726.4697         0.10950E+04
    1749.6754         0.44048E+05
    3059.8482         0.18857E+03
    3117.0181         0.13277E-02
    3144.5536         0.76586E-01
    3234.9849         0.24322E+04
    3295.0749         0.46517E+04
    3410.5667         0.18533E+03
    3434.6024         0.58601E+03
    3523.2178         0.50252E+02
    3668.4810         0.39223E+03
    3695.2025         0.47550E+03
    3734.8106         0.46525E+03
    3879.3355         0.99258E+00
    3892.8912         0.11632E+01
    3896.9960         0.31407E+02
