# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     5.0360  eV
#     vib freq     dsigma/dOmega
       0.0000         0.31018E+07
      23.6997         0.20811E+03
      40.6518         0.14538E+02
      53.9545         0.14296E+03
      62.8630         0.17482E+02
      69.5887         0.69808E+03
     101.7442         0.65713E+04
     118.2485         0.45786E+03
     138.7096         0.50137E+03
     149.1788         0.86855E+02
     159.8440         0.55962E+01
     167.9592         0.76631E+02
     175.7391         0.12857E+03
     183.5732         0.29983E+01
     192.1327         0.16891E+03
     224.4472         0.46639E+01
     254.1260         0.41841E+02
     282.0351         0.64255E+02
     305.9821         0.22297E+03
     309.8139         0.32096E+03
     325.0444         0.84388E+02
     344.1425         0.83265E+03
     395.8559         0.33125E+02
     415.6368         0.62130E+04
     431.5848         0.10139E+03
     438.6288         0.32856E+04
     465.4921         0.13134E+04
     482.3865         0.19182E+05
     531.9302         0.51310E+03
     567.0993         0.61436E+04
     608.9594         0.19799E+05
     625.2400         0.26262E+04
     636.2482         0.27563E+05
     684.2638         0.19430E+03
     762.3259         0.69299E+03
     766.6493         0.37809E+05
     783.2079         0.48746E+03
     809.4517         0.23083E+03
     825.0917         0.33796E+05
     882.3865         0.24182E+04
     912.2086         0.75779E+03
     956.4500         0.59098E+01
    1012.2769         0.24116E+05
    1051.7976         0.40633E+04
    1080.6899         0.29222E+02
    1201.8191         0.41589E+05
    1248.7788         0.26020E+04
    1270.7560         0.14143E+06
    1397.0368         0.28947E+06
    1429.4934         0.73430E+02
    1470.7923         0.43545E+01
    1478.7287         0.34706E+05
    1492.2555         0.43316E+04
    1504.5582         0.43933E+05
    1552.3293         0.43773E+04
    1594.8073         0.14582E+04
    1606.2932         0.33850E+04
    1633.1116         0.55534E+04
    1669.2503         0.18055E+05
    1710.0514         0.95372E+05
    1726.4697         0.50362E+06
    1749.6754         0.53439E+05
    3059.8482         0.20041E+04
    3117.0181         0.64915E-02
    3144.5536         0.46220E+03
    3234.9849         0.11848E+05
    3295.0749         0.52219E+04
    3410.5667         0.12089E+04
    3434.6024         0.49810E+04
    3523.2178         0.13948E+04
    3668.4810         0.30978E+03
    3695.2025         0.38748E+03
    3734.8106         0.46170E+03
    3879.3355         0.38530E+00
    3892.8912         0.29309E+02
    3896.9960         0.24646E+02
