# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     6.7920  eV
#     vib freq     dsigma/dOmega
       0.0000         0.51235E+02
      23.6997         0.60591E-02
      40.6518         0.12147E-01
      53.9545         0.20090E-02
      62.8630         0.93622E-03
      69.5887         0.25169E-02
     101.7442         0.95888E-01
     118.2485         0.56961E-02
     138.7096         0.11093E-02
     149.1788         0.36557E-01
     159.8440         0.11501E-02
     167.9592         0.84588E-02
     175.7391         0.51863E-01
     183.5732         0.77120E-02
     192.1327         0.27005E-02
     224.4472         0.69192E-04
     254.1260         0.92054E-03
     282.0351         0.10340E-03
     305.9821         0.40458E-02
     309.8139         0.23357E-03
     325.0444         0.19688E-02
     344.1425         0.69784E-01
     395.8559         0.25264E-01
     415.6368         0.46468E-01
     431.5848         0.10415E-01
     438.6288         0.15307E+00
     465.4921         0.95362E-03
     482.3865         0.15395E+00
     531.9302         0.97054E-04
     567.0993         0.16862E+00
     608.9594         0.11922E+01
     625.2400         0.16837E-01
     636.2482         0.43316E-02
     684.2638         0.20953E-02
     762.3259         0.49528E-02
     766.6493         0.61103E+00
     783.2079         0.14789E-01
     809.4517         0.15639E-03
     825.0917         0.94009E-01
     882.3865         0.83168E-02
     912.2086         0.60439E-01
     956.4500         0.51461E-03
    1012.2769         0.11614E+01
    1051.7976         0.12333E+01
    1080.6899         0.96366E-04
    1201.8191         0.29659E+00
    1248.7788         0.12106E+01
    1270.7560         0.37969E+00
    1397.0368         0.13849E+00
    1429.4934         0.94269E-02
    1470.7923         0.13454E-05
    1478.7287         0.38457E+01
    1492.2555         0.92116E-02
    1504.5582         0.30096E-02
    1552.3293         0.35400E+01
    1594.8073         0.92427E-02
    1606.2932         0.20697E-05
    1633.1116         0.20916E-01
    1669.2503         0.22565E-01
    1710.0514         0.30601E-01
    1726.4697         0.17031E+00
    1749.6754         0.12203E+02
    3059.8482         0.98852E-02
    3117.0181         0.58517E-05
    3144.5536         0.55403E-04
    3234.9849         0.42030E-04
    3295.0749         0.15228E+00
    3410.5667         0.82635E-02
    3434.6024         0.86039E-01
    3523.2178         0.77687E-04
    3668.4810         0.11608E+00
    3695.2025         0.49949E-01
    3734.8106         0.94660E-01
    3879.3355         0.54221E-05
    3892.8912         0.14173E-06
    3896.9960         0.15082E-01
