 # Mode   Huang-Rhys factor
           1  3.549625328242016E-002
           2  3.677475302654116E-006
           3  2.716278133140079E-002
           4  3.692660290659135E-002
           5  1.398753492389179E-003
           6  1.945127044431609E-002
           7  2.535190682849716E-003
           8  4.900376202679864E-002
           9  6.966665844185332E-003
          10  9.752534767077050E-003
          11  1.423242862172514E-004
          12  7.156149952696017E-002
          13  1.186748139939795E-003
          14  4.208678856074831E-005
          15  3.806750014139319E-003
          16  2.223201722683124E-003
          17  4.565961093529887E-007
          18  1.485762227754124E-002
          19  2.263329264317977E-003
          20  8.846880744070098E-008
          21  2.908119680444228E-002
          22  6.626802894669670E-002
          23  3.884362449149913E-002
          24  2.465800887796965E-004
          25  1.234575154692069E-003
          26  1.580673807722751E-006
          27  2.715811145330391E-002
          28  1.786337079059757E-002
          29  0.160732840871441     
          30  2.026579354210437E-002
          31  0.711546924525029     
          32  1.822958229504034E-002
          33  0.201744613269497     
          34  4.188390871324258E-005
          35  2.235799529366153E-007
          36  2.506401432804244E-005
          37  7.617470581653142E-004
          38  2.173749683538608E-003
          39  1.587307269271177E-003
