# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.38171E-02
       0.0000      32302.4877         0.38551E-02
       0.0000      32342.8154         0.38935E-02
       0.0000      32383.1431         0.39324E-02
       0.0000      32423.4708         0.39718E-02
       0.0000      32463.7985         0.40117E-02
       0.0000      32504.1262         0.40521E-02
       0.0000      32544.4539         0.40930E-02
       0.0000      32584.7816         0.41344E-02
       0.0000      32625.1093         0.41764E-02
       0.0000      32665.4370         0.42189E-02
       0.0000      32705.7647         0.42620E-02
       0.0000      32746.0924         0.43056E-02
       0.0000      32786.4201         0.43498E-02
       0.0000      32826.7478         0.43946E-02
       0.0000      32867.0755         0.44400E-02
       0.0000      32907.4032         0.44859E-02
       0.0000      32947.7309         0.45325E-02
       0.0000      32988.0586         0.45797E-02
       0.0000      33028.3863         0.46275E-02
       0.0000      33068.7140         0.46760E-02
       0.0000      33109.0417         0.47251E-02
       0.0000      33149.3694         0.47749E-02
       0.0000      33189.6971         0.48253E-02
       0.0000      33230.0248         0.48765E-02
       0.0000      33270.3525         0.49283E-02
       0.0000      33310.6802         0.49808E-02
       0.0000      33351.0079         0.50341E-02
       0.0000      33391.3356         0.50881E-02
       0.0000      33431.6633         0.51428E-02
       0.0000      33471.9910         0.51983E-02
       0.0000      33512.3187         0.52545E-02
       0.0000      33552.6464         0.53116E-02
       0.0000      33592.9741         0.53694E-02
       0.0000      33633.3018         0.54281E-02
       0.0000      33673.6295         0.54875E-02
       0.0000      33713.9572         0.55479E-02
       0.0000      33754.2849         0.56090E-02
       0.0000      33794.6126         0.56711E-02
       0.0000      33834.9403         0.57340E-02
       0.0000      33875.2680         0.57978E-02
       0.0000      33915.5957         0.58626E-02
       0.0000      33955.9234         0.59283E-02
       0.0000      33996.2511         0.59949E-02
       0.0000      34036.5788         0.60626E-02
       0.0000      34076.9065         0.61312E-02
       0.0000      34117.2342         0.62008E-02
       0.0000      34157.5619         0.62714E-02
       0.0000      34197.8896         0.63431E-02
       0.0000      34238.2173         0.64159E-02
       0.0000      34278.5450         0.64897E-02
       0.0000      34318.8727         0.65646E-02
       0.0000      34359.2004         0.66407E-02
       0.0000      34399.5281         0.67179E-02
       0.0000      34439.8558         0.67963E-02
       0.0000      34480.1835         0.68759E-02
       0.0000      34520.5112         0.69567E-02
       0.0000      34560.8389         0.70388E-02
       0.0000      34601.1666         0.71221E-02
       0.0000      34641.4943         0.72067E-02
       0.0000      34681.8220         0.72926E-02
       0.0000      34722.1497         0.73798E-02
       0.0000      34762.4774         0.74685E-02
       0.0000      34802.8051         0.75585E-02
       0.0000      34843.1328         0.76499E-02
       0.0000      34883.4605         0.77428E-02
       0.0000      34923.7882         0.78372E-02
       0.0000      34964.1159         0.79331E-02
       0.0000      35004.4436         0.80305E-02
       0.0000      35044.7713         0.81295E-02
       0.0000      35085.0990         0.82302E-02
       0.0000      35125.4267         0.83324E-02
       0.0000      35165.7544         0.84364E-02
       0.0000      35206.0821         0.85420E-02
       0.0000      35246.4098         0.86494E-02
       0.0000      35286.7375         0.87586E-02
       0.0000      35327.0652         0.88696E-02
       0.0000      35367.3929         0.89825E-02
       0.0000      35407.7206         0.90973E-02
       0.0000      35448.0483         0.92140E-02
       0.0000      35488.3760         0.93327E-02
       0.0000      35528.7037         0.94534E-02
       0.0000      35569.0314         0.95763E-02
       0.0000      35609.3591         0.97012E-02
       0.0000      35649.6868         0.98283E-02
       0.0000      35690.0145         0.99576E-02
       0.0000      35730.3422         0.10089E-01
       0.0000      35770.6699         0.10223E-01
       0.0000      35810.9976         0.10359E-01
       0.0000      35851.3253         0.10498E-01
       0.0000      35891.6530         0.10639E-01
       0.0000      35931.9807         0.10783E-01
       0.0000      35972.3084         0.10929E-01
       0.0000      36012.6361         0.11078E-01
       0.0000      36052.9638         0.11230E-01
       0.0000      36093.2915         0.11385E-01
       0.0000      36133.6192         0.11542E-01
       0.0000      36173.9469         0.11702E-01
       0.0000      36214.2746         0.11866E-01
       0.0000      36254.6023         0.12032E-01
       0.0000      36294.9300         0.12202E-01
       0.0000      36335.2577         0.12374E-01
       0.0000      36375.5854         0.12551E-01
       0.0000      36415.9131         0.12730E-01
       0.0000      36456.2408         0.12913E-01
       0.0000      36496.5685         0.13099E-01
       0.0000      36536.8962         0.13290E-01
       0.0000      36577.2239         0.13483E-01
       0.0000      36617.5516         0.13681E-01
       0.0000      36657.8793         0.13883E-01
       0.0000      36698.2070         0.14089E-01
       0.0000      36738.5347         0.14299E-01
       0.0000      36778.8624         0.14513E-01
       0.0000      36819.1901         0.14731E-01
       0.0000      36859.5178         0.14954E-01
       0.0000      36899.8455         0.15182E-01
       0.0000      36940.1732         0.15414E-01
       0.0000      36980.5009         0.15652E-01
       0.0000      37020.8286         0.15894E-01
       0.0000      37061.1563         0.16142E-01
       0.0000      37101.4840         0.16394E-01
       0.0000      37141.8117         0.16653E-01
       0.0000      37182.1394         0.16917E-01
       0.0000      37222.4671         0.17186E-01
       0.0000      37262.7948         0.17462E-01
       0.0000      37303.1225         0.17744E-01
       0.0000      37343.4502         0.18032E-01
       0.0000      37383.7779         0.18326E-01
       0.0000      37424.1056         0.18627E-01
       0.0000      37464.4333         0.18936E-01
       0.0000      37504.7610         0.19251E-01
       0.0000      37545.0887         0.19573E-01
       0.0000      37585.4164         0.19904E-01
       0.0000      37625.7441         0.20241E-01
       0.0000      37666.0718         0.20588E-01
       0.0000      37706.3995         0.20942E-01
       0.0000      37746.7272         0.21305E-01
       0.0000      37787.0549         0.21677E-01
