# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.19363E+04
       0.0000      32302.4877         0.20205E+04
       0.0000      32342.8154         0.21051E+04
       0.0000      32383.1431         0.21901E+04
       0.0000      32423.4708         0.22753E+04
       0.0000      32463.7985         0.23604E+04
       0.0000      32504.1262         0.24453E+04
       0.0000      32544.4539         0.25298E+04
       0.0000      32584.7816         0.26138E+04
       0.0000      32625.1093         0.26971E+04
       0.0000      32665.4370         0.27795E+04
       0.0000      32705.7647         0.28609E+04
       0.0000      32746.0924         0.29412E+04
       0.0000      32786.4201         0.30202E+04
       0.0000      32826.7478         0.30978E+04
       0.0000      32867.0755         0.31740E+04
       0.0000      32907.4032         0.32485E+04
       0.0000      32947.7309         0.33214E+04
       0.0000      32988.0586         0.33926E+04
       0.0000      33028.3863         0.34619E+04
       0.0000      33068.7140         0.35294E+04
       0.0000      33109.0417         0.35951E+04
       0.0000      33149.3694         0.36588E+04
       0.0000      33189.6971         0.37207E+04
       0.0000      33230.0248         0.37806E+04
       0.0000      33270.3525         0.38386E+04
       0.0000      33310.6802         0.38948E+04
       0.0000      33351.0079         0.39491E+04
       0.0000      33391.3356         0.40015E+04
       0.0000      33431.6633         0.40522E+04
       0.0000      33471.9910         0.41012E+04
       0.0000      33512.3187         0.41485E+04
       0.0000      33552.6464         0.41942E+04
       0.0000      33592.9741         0.42384E+04
       0.0000      33633.3018         0.42810E+04
       0.0000      33673.6295         0.43223E+04
       0.0000      33713.9572         0.43623E+04
       0.0000      33754.2849         0.44010E+04
       0.0000      33794.6126         0.44385E+04
       0.0000      33834.9403         0.44749E+04
       0.0000      33875.2680         0.45103E+04
       0.0000      33915.5957         0.45448E+04
       0.0000      33955.9234         0.45784E+04
       0.0000      33996.2511         0.46112E+04
       0.0000      34036.5788         0.46432E+04
       0.0000      34076.9065         0.46746E+04
       0.0000      34117.2342         0.47054E+04
       0.0000      34157.5619         0.47357E+04
       0.0000      34197.8896         0.47655E+04
       0.0000      34238.2173         0.47949E+04
       0.0000      34278.5450         0.48239E+04
       0.0000      34318.8727         0.48527E+04
       0.0000      34359.2004         0.48811E+04
       0.0000      34399.5281         0.49094E+04
       0.0000      34439.8558         0.49375E+04
       0.0000      34480.1835         0.49654E+04
       0.0000      34520.5112         0.49933E+04
       0.0000      34560.8389         0.50211E+04
       0.0000      34601.1666         0.50488E+04
       0.0000      34641.4943         0.50766E+04
       0.0000      34681.8220         0.51044E+04
       0.0000      34722.1497         0.51322E+04
       0.0000      34762.4774         0.51601E+04
       0.0000      34802.8051         0.51880E+04
       0.0000      34843.1328         0.52161E+04
       0.0000      34883.4605         0.52443E+04
       0.0000      34923.7882         0.52726E+04
       0.0000      34964.1159         0.53011E+04
       0.0000      35004.4436         0.53297E+04
       0.0000      35044.7713         0.53585E+04
       0.0000      35085.0990         0.53875E+04
       0.0000      35125.4267         0.54167E+04
       0.0000      35165.7544         0.54461E+04
       0.0000      35206.0821         0.54757E+04
       0.0000      35246.4098         0.55055E+04
       0.0000      35286.7375         0.55355E+04
       0.0000      35327.0652         0.55657E+04
       0.0000      35367.3929         0.55962E+04
       0.0000      35407.7206         0.56269E+04
       0.0000      35448.0483         0.56579E+04
       0.0000      35488.3760         0.56891E+04
       0.0000      35528.7037         0.57205E+04
       0.0000      35569.0314         0.57522E+04
       0.0000      35609.3591         0.57842E+04
       0.0000      35649.6868         0.58164E+04
       0.0000      35690.0145         0.58489E+04
       0.0000      35730.3422         0.58816E+04
       0.0000      35770.6699         0.59146E+04
       0.0000      35810.9976         0.59479E+04
       0.0000      35851.3253         0.59815E+04
       0.0000      35891.6530         0.60153E+04
       0.0000      35931.9807         0.60495E+04
       0.0000      35972.3084         0.60839E+04
       0.0000      36012.6361         0.61186E+04
       0.0000      36052.9638         0.61536E+04
       0.0000      36093.2915         0.61889E+04
       0.0000      36133.6192         0.62244E+04
       0.0000      36173.9469         0.62603E+04
       0.0000      36214.2746         0.62965E+04
       0.0000      36254.6023         0.63330E+04
       0.0000      36294.9300         0.63698E+04
       0.0000      36335.2577         0.64070E+04
       0.0000      36375.5854         0.64444E+04
       0.0000      36415.9131         0.64822E+04
       0.0000      36456.2408         0.65203E+04
       0.0000      36496.5685         0.65587E+04
       0.0000      36536.8962         0.65975E+04
       0.0000      36577.2239         0.66365E+04
       0.0000      36617.5516         0.66760E+04
       0.0000      36657.8793         0.67157E+04
       0.0000      36698.2070         0.67558E+04
       0.0000      36738.5347         0.67963E+04
       0.0000      36778.8624         0.68371E+04
       0.0000      36819.1901         0.68783E+04
       0.0000      36859.5178         0.69198E+04
       0.0000      36899.8455         0.69617E+04
       0.0000      36940.1732         0.70040E+04
       0.0000      36980.5009         0.70466E+04
       0.0000      37020.8286         0.70897E+04
       0.0000      37061.1563         0.71331E+04
       0.0000      37101.4840         0.71768E+04
       0.0000      37141.8117         0.72210E+04
       0.0000      37182.1394         0.72656E+04
       0.0000      37222.4671         0.73105E+04
       0.0000      37262.7948         0.73559E+04
       0.0000      37303.1225         0.74017E+04
       0.0000      37343.4502         0.74479E+04
       0.0000      37383.7779         0.74945E+04
       0.0000      37424.1056         0.75415E+04
       0.0000      37464.4333         0.75889E+04
       0.0000      37504.7610         0.76368E+04
       0.0000      37545.0887         0.76851E+04
       0.0000      37585.4164         0.77339E+04
       0.0000      37625.7441         0.77831E+04
       0.0000      37666.0718         0.78327E+04
       0.0000      37706.3995         0.78828E+04
       0.0000      37746.7272         0.79333E+04
       0.0000      37787.0549         0.79844E+04
       0.0000      37827.3826         0.80359E+04
       0.0000      37867.7103         0.80878E+04
       0.0000      37908.0380         0.81403E+04
       0.0000      37948.3657         0.81932E+04
       0.0000      37988.6934         0.82466E+04
       0.0000      38029.0211         0.83006E+04
       0.0000      38069.3488         0.83550E+04
       0.0000      38109.6765         0.84099E+04
       0.0000      38150.0042         0.84654E+04
       0.0000      38190.3319         0.85214E+04
       0.0000      38230.6596         0.85779E+04
       0.0000      38270.9873         0.86349E+04
       0.0000      38311.3150         0.86925E+04
       0.0000      38351.6427         0.87506E+04
       0.0000      38391.9704         0.88093E+04
       0.0000      38432.2981         0.88685E+04
       0.0000      38472.6258         0.89283E+04
       0.0000      38512.9535         0.89887E+04
       0.0000      38553.2812         0.90496E+04
       0.0000      38593.6089         0.91112E+04
       0.0000      38633.9366         0.91733E+04
       0.0000      38674.2643         0.92361E+04
       0.0000      38714.5920         0.92994E+04
       0.0000      38754.9197         0.93634E+04
       0.0000      38795.2474         0.94279E+04
       0.0000      38835.5751         0.94932E+04
       0.0000      38875.9028         0.95590E+04
       0.0000      38916.2305         0.96255E+04
       0.0000      38956.5582         0.96927E+04
       0.0000      38996.8859         0.97605E+04
       0.0000      39037.2136         0.98290E+04
       0.0000      39077.5413         0.98981E+04
       0.0000      39117.8690         0.99680E+04
       0.0000      39158.1967         0.10039E+05
       0.0000      39198.5244         0.10110E+05
       0.0000      39238.8521         0.10182E+05
       0.0000      39279.1798         0.10254E+05
       0.0000      39319.5075         0.10328E+05
       0.0000      39359.8352         0.10402E+05
       0.0000      39400.1629         0.10477E+05
       0.0000      39440.4906         0.10553E+05
       0.0000      39480.8183         0.10629E+05
       0.0000      39521.1460         0.10706E+05
       0.0000      39561.4737         0.10784E+05
       0.0000      39601.8014         0.10863E+05
       0.0000      39642.1291         0.10943E+05
       0.0000      39682.4568         0.11023E+05
       0.0000      39722.7845         0.11104E+05
       0.0000      39763.1122         0.11187E+05
       0.0000      39803.4399         0.11270E+05
       0.0000      39843.7676         0.11353E+05
       0.0000      39884.0953         0.11438E+05
       0.0000      39924.4230         0.11524E+05
       0.0000      39964.7507         0.11610E+05
       0.0000      40005.0784         0.11698E+05
       0.0000      40045.4061         0.11786E+05
       0.0000      40085.7338         0.11875E+05
       0.0000      40126.0615         0.11965E+05
       0.0000      40166.3892         0.12057E+05
       0.0000      40206.7169         0.12149E+05
       0.0000      40247.0446         0.12242E+05
       0.0000      40287.3723         0.12336E+05
       0.0000      40327.7000         0.12431E+05
       0.0000      40368.0277         0.12527E+05
       0.0000      40408.3554         0.12625E+05
       0.0000      40448.6831         0.12723E+05
       0.0000      40489.0108         0.12822E+05
       0.0000      40529.3385         0.12923E+05
       0.0000      40569.6662         0.13024E+05
       0.0000      40609.9939         0.13127E+05
       0.0000      40650.3216         0.13231E+05
       0.0000      40690.6493         0.13336E+05
       0.0000      40730.9770         0.13442E+05
       0.0000      40771.3047         0.13549E+05
       0.0000      40811.6324         0.13658E+05
       0.0000      40851.9601         0.13767E+05
       0.0000      40892.2878         0.13878E+05
       0.0000      40932.6155         0.13990E+05
       0.0000      40972.9432         0.14104E+05
       0.0000      41013.2709         0.14219E+05
       0.0000      41053.5986         0.14335E+05
       0.0000      41093.9263         0.14452E+05
       0.0000      41134.2540         0.14571E+05
       0.0000      41174.5817         0.14691E+05
       0.0000      41214.9094         0.14812E+05
       0.0000      41255.2371         0.14935E+05
       0.0000      41295.5648         0.15059E+05
       0.0000      41335.8925         0.15185E+05
       0.0000      41376.2202         0.15312E+05
       0.0000      41416.5479         0.15441E+05
       0.0000      41456.8756         0.15571E+05
       0.0000      41497.2033         0.15703E+05
       0.0000      41537.5310         0.15836E+05
       0.0000      41577.8587         0.15971E+05
