# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     6.7900  eV
#     vib freq     dsigma/dOmega
       0.0000         0.51126E+02
     134.2028         0.89698E-02
     160.4145         0.24696E-03
     196.2225         0.18494E-02
     302.9662         0.22060E-02
     314.0737         0.12106E-04
     428.0712         0.16378E-03
     432.8977         0.15505E-01
     481.6447         0.62785E-01
     574.2820         0.33617E-02
     635.1156         0.77483E-03
     759.3504         0.60973E-02
     765.2594         0.58858E+00
     782.4596         0.83219E-02
     804.9719         0.11827E-02
     824.8905         0.68357E-01
     880.9217         0.29243E-01
     956.3940         0.22239E-03
    1011.0315         0.10818E+01
    1050.4946         0.98848E+00
    1080.6847         0.45269E-04
    1201.1152         0.25088E+00
    1248.2618         0.10172E+01
    1270.6608         0.32919E+00
    1397.0576         0.13133E+00
    1429.5035         0.90543E-02
    1470.7923         0.56424E-06
    1478.6589         0.37510E+01
    1492.2903         0.12792E-01
    1504.0930         0.15675E-02
    1551.7409         0.33960E+01
    1702.4011         0.57194E-01
    1725.7630         0.20393E-02
    1742.7371         0.11956E+02
    3059.8494         0.89342E-02
    3117.0181         0.53835E-05
    3144.5544         0.51855E-04
    3234.9849         0.38759E-04
    3303.5019         0.14642E+00
    3435.8805         0.63059E-01
