# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.16367E+00
       0.0000      32302.4877         0.16438E+00
       0.0000      32342.8154         0.16509E+00
       0.0000      32383.1431         0.16580E+00
       0.0000      32423.4708         0.16652E+00
       0.0000      32463.7985         0.16724E+00
       0.0000      32504.1262         0.16797E+00
       0.0000      32544.4539         0.16871E+00
       0.0000      32584.7816         0.16945E+00
       0.0000      32625.1093         0.17020E+00
       0.0000      32665.4370         0.17095E+00
       0.0000      32705.7647         0.17171E+00
       0.0000      32746.0924         0.17247E+00
       0.0000      32786.4201         0.17324E+00
       0.0000      32826.7478         0.17401E+00
       0.0000      32867.0755         0.17479E+00
       0.0000      32907.4032         0.17558E+00
       0.0000      32947.7309         0.17637E+00
       0.0000      32988.0586         0.17717E+00
       0.0000      33028.3863         0.17797E+00
       0.0000      33068.7140         0.17879E+00
       0.0000      33109.0417         0.17960E+00
       0.0000      33149.3694         0.18042E+00
       0.0000      33189.6971         0.18125E+00
       0.0000      33230.0248         0.18209E+00
       0.0000      33270.3525         0.18293E+00
       0.0000      33310.6802         0.18378E+00
       0.0000      33351.0079         0.18463E+00
       0.0000      33391.3356         0.18549E+00
       0.0000      33431.6633         0.18636E+00
       0.0000      33471.9910         0.18723E+00
       0.0000      33512.3187         0.18811E+00
       0.0000      33552.6464         0.18900E+00
       0.0000      33592.9741         0.18989E+00
       0.0000      33633.3018         0.19079E+00
       0.0000      33673.6295         0.19170E+00
       0.0000      33713.9572         0.19261E+00
       0.0000      33754.2849         0.19354E+00
       0.0000      33794.6126         0.19446E+00
       0.0000      33834.9403         0.19540E+00
       0.0000      33875.2680         0.19634E+00
       0.0000      33915.5957         0.19729E+00
       0.0000      33955.9234         0.19825E+00
       0.0000      33996.2511         0.19921E+00
       0.0000      34036.5788         0.20019E+00
       0.0000      34076.9065         0.20116E+00
       0.0000      34117.2342         0.20215E+00
       0.0000      34157.5619         0.20315E+00
       0.0000      34197.8896         0.20415E+00
       0.0000      34238.2173         0.20516E+00
       0.0000      34278.5450         0.20618E+00
       0.0000      34318.8727         0.20720E+00
       0.0000      34359.2004         0.20824E+00
       0.0000      34399.5281         0.20928E+00
       0.0000      34439.8558         0.21033E+00
       0.0000      34480.1835         0.21138E+00
       0.0000      34520.5112         0.21245E+00
       0.0000      34560.8389         0.21353E+00
       0.0000      34601.1666         0.21461E+00
       0.0000      34641.4943         0.21570E+00
       0.0000      34681.8220         0.21680E+00
       0.0000      34722.1497         0.21791E+00
       0.0000      34762.4774         0.21903E+00
       0.0000      34802.8051         0.22015E+00
       0.0000      34843.1328         0.22129E+00
