# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     5.0350  eV
#     vib freq     dsigma/dOmega
       0.0000         0.31928E+07
     134.2028         0.88555E+02
     160.4145         0.16840E+00
     196.2225         0.54951E+02
     302.9662         0.69975E+03
     314.0737         0.64774E+01
     428.0712         0.32083E+04
     432.8977         0.11488E+05
     481.6447         0.19911E+05
     574.2820         0.13726E+05
     635.1156         0.33081E+05
     759.3504         0.45793E+03
     765.2594         0.38384E+05
     782.4596         0.39509E+03
     804.9719         0.13269E+03
     824.8905         0.32878E+05
     880.9217         0.62892E+03
     956.3940         0.67186E+01
    1011.0315         0.21476E+05
    1050.4946         0.48608E+04
    1080.6847         0.28451E+02
    1201.1152         0.38263E+05
    1248.2618         0.18487E+04
    1270.6608         0.13407E+06
    1397.0576         0.29743E+06
    1429.5035         0.64026E+02
    1470.7923         0.43344E+01
    1478.6589         0.33150E+05
    1492.2903         0.45982E+04
    1504.0930         0.46221E+05
    1551.7409         0.53857E+04
    1702.4011         0.14817E+06
    1725.7630         0.44470E+06
    1742.7371         0.12015E+06
    3059.8494         0.19516E+04
    3117.0181         0.64465E-02
    3144.5544         0.47529E+03
    3234.9849         0.12933E+05
    3303.5019         0.66233E+04
    3435.8805         0.56587E+04
