# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.19577E+05
       0.0000      32302.4877         0.19701E+05
       0.0000      32342.8154         0.19826E+05
       0.0000      32383.1431         0.19952E+05
       0.0000      32423.4708         0.20080E+05
       0.0000      32463.7985         0.20208E+05
       0.0000      32504.1262         0.20337E+05
       0.0000      32544.4539         0.20468E+05
       0.0000      32584.7816         0.20599E+05
       0.0000      32625.1093         0.20732E+05
       0.0000      32665.4370         0.20866E+05
       0.0000      32705.7647         0.21001E+05
       0.0000      32746.0924         0.21138E+05
       0.0000      32786.4201         0.21275E+05
       0.0000      32826.7478         0.21414E+05
       0.0000      32867.0755         0.21554E+05
       0.0000      32907.4032         0.21695E+05
       0.0000      32947.7309         0.21837E+05
       0.0000      32988.0586         0.21981E+05
       0.0000      33028.3863         0.22126E+05
       0.0000      33068.7140         0.22272E+05
       0.0000      33109.0417         0.22419E+05
       0.0000      33149.3694         0.22568E+05
       0.0000      33189.6971         0.22718E+05
       0.0000      33230.0248         0.22870E+05
       0.0000      33270.3525         0.23023E+05
       0.0000      33310.6802         0.23177E+05
       0.0000      33351.0079         0.23333E+05
       0.0000      33391.3356         0.23490E+05
       0.0000      33431.6633         0.23648E+05
       0.0000      33471.9910         0.23808E+05
       0.0000      33512.3187         0.23970E+05
       0.0000      33552.6464         0.24132E+05
       0.0000      33592.9741         0.24297E+05
       0.0000      33633.3018         0.24462E+05
       0.0000      33673.6295         0.24630E+05
       0.0000      33713.9572         0.24799E+05
       0.0000      33754.2849         0.24969E+05
       0.0000      33794.6126         0.25141E+05
       0.0000      33834.9403         0.25315E+05
       0.0000      33875.2680         0.25490E+05
       0.0000      33915.5957         0.25667E+05
       0.0000      33955.9234         0.25845E+05
       0.0000      33996.2511         0.26025E+05
       0.0000      34036.5788         0.26207E+05
       0.0000      34076.9065         0.26391E+05
       0.0000      34117.2342         0.26576E+05
       0.0000      34157.5619         0.26763E+05
       0.0000      34197.8896         0.26952E+05
