# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     6.2750  eV
#     vib freq     dsigma/dOmega
       0.0000         0.41822E+07
     134.2028         0.32268E+02
     160.4145         0.28272E+01
     196.2225         0.91727E+02
     302.9662         0.27880E+01
     314.0737         0.41750E+03
     428.0712         0.83382E+04
     432.8977         0.12653E+05
     481.6447         0.88540E+04
     574.2820         0.63383E+03
     635.1156         0.37288E+04
     759.3504         0.24868E+04
     765.2594         0.81596E+05
     782.4596         0.79739E+03
     804.9719         0.86479E+01
     824.8905         0.57790E+05
     880.9217         0.68595E-03
     956.3940         0.62190E+01
    1011.0315         0.29748E+05
    1050.4946         0.27849E+05
    1080.6847         0.39879E+02
    1201.1152         0.68960E+03
    1248.2618         0.20105E+06
    1270.6608         0.16181E+05
    1397.0576         0.68988E+05
    1429.5035         0.21457E+04
    1470.7923         0.17417E+01
    1478.6589         0.96710E+05
    1492.2903         0.15805E+05
    1504.0930         0.45589E+06
    1551.7409         0.95929E+06
    1702.4011         0.80132E+02
    1725.7630         0.22941E+06
    1742.7371         0.49750E+05
    3059.8494         0.57680E+04
    3117.0181         0.11854E+02
    3144.5544         0.25379E+04
    3234.9849         0.51636E+03
    3303.5019         0.11029E+04
    3435.8805         0.12250E+04
