 # Mode   Huang-Rhys factor
           1  3.319062346541316E-004
           2  4.371911309065900E-003
           3  9.486020832488692E-004
           4  2.481375408436235E-002
           5  8.059202981461482E-004
           6  0.108852618274059     
           7  0.147274630262243     
           8  0.201660313291194     
           9  0.204255401892118     
          10  2.180307410631147E-002
          11  2.396197245477146E-004
          12  2.546723937744339E-002
          13  9.707335054473465E-006
          14  2.189327978992836E-003
          15  1.146880478434114E-003
          16  1.050150373817403E-004
          17  1.503634163277849E-005
          18  5.204400292094070E-003
          19  1.203942197332264E-002
          20  3.822438666557923E-005
          21  4.228970644300081E-002
          22  5.616219396142288E-002
          23  5.602650635296699E-003
          24  0.111447734298447     
          25  7.926237968980392E-003
          26  2.620486922247614E-007
          27  9.839849548524851E-002
          28  9.124896878304396E-004
          29  7.107201734292456E-002
          30  7.514005009394809E-002
          31  2.333246404668264E-002
          32  0.438756866000601     
          33  3.504558242375414E-002
          34  1.025601847992438E-003
          35  9.364572371936280E-006
          36  9.442257814537555E-004
          37  1.195896529605144E-003
          38  1.420517114114852E-003
          39  1.217693459188429E-002
