# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.17518E+01
       0.0000      32302.4877         0.17614E+01
       0.0000      32342.8154         0.17711E+01
       0.0000      32383.1431         0.17809E+01
       0.0000      32423.4708         0.17908E+01
       0.0000      32463.7985         0.18007E+01
       0.0000      32504.1262         0.18107E+01
       0.0000      32544.4539         0.18208E+01
       0.0000      32584.7816         0.18309E+01
       0.0000      32625.1093         0.18412E+01
       0.0000      32665.4370         0.18515E+01
       0.0000      32705.7647         0.18619E+01
       0.0000      32746.0924         0.18724E+01
       0.0000      32786.4201         0.18830E+01
       0.0000      32826.7478         0.18936E+01
       0.0000      32867.0755         0.19044E+01
       0.0000      32907.4032         0.19152E+01
       0.0000      32947.7309         0.19261E+01
       0.0000      32988.0586         0.19371E+01
       0.0000      33028.3863         0.19482E+01
       0.0000      33068.7140         0.19594E+01
       0.0000      33109.0417         0.19707E+01
       0.0000      33149.3694         0.19820E+01
       0.0000      33189.6971         0.19935E+01
       0.0000      33230.0248         0.20050E+01
       0.0000      33270.3525         0.20167E+01
       0.0000      33310.6802         0.20284E+01
       0.0000      33351.0079         0.20402E+01
       0.0000      33391.3356         0.20522E+01
       0.0000      33431.6633         0.20642E+01
       0.0000      33471.9910         0.20763E+01
       0.0000      33512.3187         0.20885E+01
       0.0000      33552.6464         0.21009E+01
       0.0000      33592.9741         0.21133E+01
       0.0000      33633.3018         0.21258E+01
       0.0000      33673.6295         0.21384E+01
       0.0000      33713.9572         0.21512E+01
       0.0000      33754.2849         0.21640E+01
       0.0000      33794.6126         0.21769E+01
       0.0000      33834.9403         0.21900E+01
       0.0000      33875.2680         0.22031E+01
       0.0000      33915.5957         0.22164E+01
       0.0000      33955.9234         0.22298E+01
       0.0000      33996.2511         0.22433E+01
       0.0000      34036.5788         0.22569E+01
       0.0000      34076.9065         0.22706E+01
       0.0000      34117.2342         0.22844E+01
       0.0000      34157.5619         0.22984E+01
       0.0000      34197.8896         0.23125E+01
       0.0000      34238.2173         0.23267E+01
       0.0000      34278.5450         0.23410E+01
       0.0000      34318.8727         0.23554E+01
       0.0000      34359.2004         0.23699E+01
       0.0000      34399.5281         0.23846E+01
       0.0000      34439.8558         0.23994E+01
       0.0000      34480.1835         0.24144E+01
       0.0000      34520.5112         0.24294E+01
       0.0000      34560.8389         0.24446E+01
       0.0000      34601.1666         0.24599E+01
       0.0000      34641.4943         0.24754E+01
       0.0000      34681.8220         0.24909E+01
       0.0000      34722.1497         0.25067E+01
       0.0000      34762.4774         0.25225E+01
       0.0000      34802.8051         0.25385E+01
       0.0000      34843.1328         0.25546E+01
       0.0000      34883.4605         0.25709E+01
       0.0000      34923.7882         0.25873E+01
       0.0000      34964.1159         0.26039E+01
       0.0000      35004.4436         0.26206E+01
       0.0000      35044.7713         0.26374E+01
       0.0000      35085.0990         0.26544E+01
       0.0000      35125.4267         0.26716E+01
       0.0000      35165.7544         0.26889E+01
       0.0000      35206.0821         0.27063E+01
       0.0000      35246.4098         0.27239E+01
       0.0000      35286.7375         0.27417E+01
       0.0000      35327.0652         0.27596E+01
       0.0000      35367.3929         0.27777E+01
       0.0000      35407.7206         0.27959E+01
       0.0000      35448.0483         0.28143E+01
       0.0000      35488.3760         0.28329E+01
       0.0000      35528.7037         0.28516E+01
