  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      32262.16         0.88071E+04   0.36690E+04   0.33031E+05   0.00000E+00
       0.00      32302.49         0.88916E+04   0.37042E+04   0.33348E+05   0.00000E+00
       0.00      32342.82         0.89776E+04   0.37400E+04   0.33670E+05   0.00000E+00
       0.00      32383.14         0.90651E+04   0.37765E+04   0.33998E+05   0.00000E+00
       0.00      32423.47         0.91540E+04   0.38135E+04   0.34332E+05   0.00000E+00
       0.00      32463.80         0.92446E+04   0.38513E+04   0.34671E+05   0.00000E+00
       0.00      32504.13         0.93368E+04   0.38897E+04   0.35017E+05   0.00000E+00
       0.00      32544.45         0.94305E+04   0.39287E+04   0.35369E+05   0.00000E+00
       0.00      32584.78         0.95260E+04   0.39685E+04   0.35727E+05   0.00000E+00
       0.00      32625.11         0.96232E+04   0.40090E+04   0.36091E+05   0.00000E+00
       0.00      32665.44         0.97222E+04   0.40502E+04   0.36462E+05   0.00000E+00
       0.00      32705.76         0.98229E+04   0.40922E+04   0.36840E+05   0.00000E+00
       0.00      32746.09         0.99255E+04   0.41349E+04   0.37225E+05   0.00000E+00
       0.00      32786.42         0.10030E+05   0.41785E+04   0.37617E+05   0.00000E+00
       0.00      32826.75         0.10137E+05   0.42228E+04   0.38016E+05   0.00000E+00
       0.00      32867.08         0.10245E+05   0.42680E+04   0.38423E+05   0.00000E+00
       0.00      32907.40         0.10355E+05   0.43141E+04   0.38838E+05   0.00000E+00
       0.00      32947.73         0.10468E+05   0.43610E+04   0.39260E+05   0.00000E+00
       0.00      32988.06         0.10583E+05   0.44088E+04   0.39690E+05   0.00000E+00
       0.00      33028.39         0.10700E+05   0.44575E+04   0.40129E+05   0.00000E+00
       0.00      33068.71         0.10819E+05   0.45072E+04   0.40576E+05   0.00000E+00
       0.00      33109.04         0.10941E+05   0.45578E+04   0.41032E+05   0.00000E+00
       0.00      33149.37         0.11065E+05   0.46095E+04   0.41497E+05   0.00000E+00
       0.00      33189.70         0.11191E+05   0.46622E+04   0.41971E+05   0.00000E+00
       0.00      33230.02         0.11320E+05   0.47159E+04   0.42455E+05   0.00000E+00
       0.00      33270.35         0.11452E+05   0.47707E+04   0.42948E+05   0.00000E+00
       0.00      33310.68         0.11586E+05   0.48266E+04   0.43452E+05   0.00000E+00
       0.00      33351.01         0.11723E+05   0.48837E+04   0.43966E+05   0.00000E+00
       0.00      33391.34         0.11863E+05   0.49419E+04   0.44490E+05   0.00000E+00
       0.00      33431.66         0.12005E+05   0.50014E+04   0.45025E+05   0.00000E+00
       0.00      33471.99         0.12151E+05   0.50621E+04   0.45572E+05   0.00000E+00
