 full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
      vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.32654E+06
       0.0000      32302.4877         0.33132E+06
       0.0000      32342.8154         0.33620E+06
       0.0000      32383.1431         0.34117E+06
       0.0000      32423.4708         0.34624E+06
       0.0000      32463.7985         0.35141E+06
       0.0000      32504.1262         0.35668E+06
       0.0000      32544.4539         0.36205E+06
       0.0000      32584.7816         0.36753E+06
       0.0000      32625.1093         0.37312E+06
       0.0000      32665.4370         0.37883E+06
       0.0000      32705.7647         0.38465E+06
       0.0000      32746.0924         0.39059E+06
       0.0000      32786.4201         0.39665E+06
       0.0000      32826.7478         0.40283E+06
       0.0000      32867.0755         0.40915E+06
       0.0000      32907.4032         0.41559E+06
       0.0000      32947.7309         0.42218E+06
       0.0000      32988.0586         0.42890E+06
       0.0000      33028.3863         0.43576E+06
       0.0000      33068.7140         0.44277E+06
       0.0000      33109.0417         0.44994E+06
       0.0000      33149.3694         0.45726E+06
       0.0000      33189.6971         0.46474E+06
       0.0000      33230.0248         0.47238E+06
       0.0000      33270.3525         0.48020E+06
       0.0000      33310.6802         0.48819E+06
       0.0000      33351.0079         0.49636E+06
       0.0000      33391.3356         0.50471E+06
       0.0000      33431.6633         0.51325E+06
       0.0000      33471.9910         0.52199E+06
       0.0000      33512.3187         0.53094E+06
       0.0000      33552.6464         0.54009E+06
       0.0000      33592.9741         0.54945E+06
       0.0000      33633.3018         0.55904E+06
       0.0000      33673.6295         0.56886E+06
       0.0000      33713.9572         0.57892E+06
       0.0000      33754.2849         0.58921E+06
       0.0000      33794.6126         0.59975E+06
       0.0000      33834.9403         0.61056E+06
       0.0000      33875.2680         0.62164E+06
       0.0000      33915.5957         0.63299E+06
       0.0000      33955.9234         0.64463E+06
       0.0000      33996.2511         0.65656E+06
       0.0000      34036.5788         0.66881E+06
       0.0000      34076.9065         0.68136E+06
       0.0000      34117.2342         0.69424E+06
       0.0000      34157.5619         0.70747E+06
       0.0000      34197.8896         0.72104E+06
       0.0000      34238.2173         0.73498E+06
       0.0000      34278.5450         0.74929E+06
       0.0000      34318.8727         0.76400E+06
       0.0000      34359.2004         0.77911E+06
       0.0000      34399.5281         0.79465E+06
       0.0000      34439.8558         0.81061E+06
       0.0000      34480.1835         0.82703E+06
       0.0000      34520.5112         0.84392E+06
       0.0000      34560.8389         0.86131E+06
       0.0000      34601.1666         0.87919E+06
       0.0000      34641.4943         0.89761E+06
       0.0000      34681.8220         0.91658E+06
       0.0000      34722.1497         0.93611E+06
       0.0000      34762.4774         0.95625E+06
       0.0000      34802.8051         0.97700E+06
       0.0000      34843.1328         0.99840E+06
       0.0000      34883.4605         0.10205E+07
