 # full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
 #at incident freq = ABS maximum    5.03500000000000        eV
 #    vib freq     dsigma/dOmega
       0.0000         0.13603E+08
     134.2028         0.37728E+03
     160.4145         0.71747E+00
     196.2225         0.23411E+03
     302.9662         0.29812E+04
     314.0737         0.27596E+02
     428.0711         0.13669E+05
     432.8977         0.48944E+05
     481.6446         0.84828E+05
     574.2819         0.58480E+05
     635.1155         0.14094E+06
     759.3503         0.19510E+04
     765.2593         0.16353E+06
     782.4595         0.16833E+04
     804.9718         0.56532E+03
     824.8904         0.14008E+06
     880.9216         0.26795E+04
     956.3939         0.28624E+02
    1011.0313         0.91497E+05
    1050.4944         0.20709E+05
    1080.6846         0.12121E+03
    1201.1150         0.16302E+06
    1248.2616         0.78764E+04
    1270.6606         0.57118E+06
    1397.0574         0.12672E+07
    1429.5033         0.27277E+03
    1470.7921         0.18466E+02
    1478.6587         0.14123E+06
    1492.2900         0.19590E+05
    1504.0927         0.19692E+06
    1551.7407         0.22945E+05
    1702.4008         0.63125E+06
    1725.7628         0.18946E+07
    1742.7369         0.51190E+06
    3059.8489         0.83146E+04
    3117.0176         0.27465E-01
    3144.5540         0.20249E+04
    3234.9844         0.55101E+05
    3303.5014         0.28218E+05
    3435.8800         0.24109E+05
