  Pre-resonance RR spectrum
  According to gradient approx. in arb. units
  
   Raman shift(cm-1)     Intensity(arb units)
   134.202814278547       2.654405230015672E-008
   160.414498648764       3.929148695619265E-012
   196.222506968502       4.342435143879628E-008
   302.966173025398       1.407307822434124E-007
   314.073671935786       5.728827048589635E-009
   428.071093190380       1.479930221698343E-007
   432.897665547400       1.972616134804304E-008
   481.644642802642       4.720025595362472E-007
   574.281892240853       9.539743303584463E-008
   635.115536576403       1.633369509306806E-007
   759.350305925986       3.407413362701151E-009
   765.259342626693       1.740035770807644E-006
   782.459498931941       3.016780813753396E-008
   804.971812791669       1.132318486637106E-009
   824.890419588050       1.075494863727465E-007
   880.921590561729       7.163328077516145E-008
   956.393872992547       1.734072457220125E-011
   1011.03132395919       6.305797192881055E-007
   1050.49441885302       1.037042848391767E-007
   1080.68456030992       4.289923323725281E-012
   1201.11498820904       1.741978985385627E-006
   1248.26158530938       4.287229452593812E-006
   1270.66058734767       2.603996098553625E-006
   1397.05735703157       1.998241348375064E-008
   1429.50333207675       1.047488684121890E-007
   1470.79206348555       1.419731687715872E-010
   1478.65872220129       2.465454138725273E-006
   1492.29004568400       1.651700728591107E-006
   1504.09274136089       1.509785724948435E-005
   1551.74072319308       2.026111738484025E-006
   1702.40081451181       8.562264624650329E-005
   1725.76279086928       2.254241198650270E-006
   1742.73689770987       2.544058323522917E-005
   3059.84894563390       1.628203344143843E-008
   3117.01761474273       9.019300085667737E-011
   3144.55398470318       1.029035134885668E-008
   3234.98442999435       3.309913456000707E-007
   3303.50140753217       9.849631607212586E-007
   3435.88003771406       7.780337794189964E-007
