 # Mode   Huang-Rhys factor
           1  1.030356643500724E-002
           2  5.771489704211036E-004
           3  1.101130390107772E-002
           4  1.016584458324240E-004
           5  1.381989404156551E-002
           6  0.129737674590960     
           7  0.192271116188714     
           8  0.109142724988945     
           9  5.834477750038689E-003
          10  2.946869273355017E-002
          11  1.499404001404962E-002
          12  0.485993744278906     
          13  4.582162506677972E-003
          14  4.736462322840319E-005
          15  0.302767947550021     
          16  3.120970485945610E-009
          17  2.225050365382429E-005
          18  8.672665053727631E-002
          19  6.957245447322587E-002
          20  8.863795045407078E-005
          21  1.028220155940782E-003
          22  0.267593415975299     
          23  2.058126494447473E-002
          24  7.343290072133055E-002
          25  2.215550276871679E-003
          26  1.742162120746411E-006
          27  9.623496448989306E-002
          28  1.559588307156560E-002
          29  0.446896785347933     
          30  0.920373493898719     
          31  7.314991367142181E-005
          32  0.206891262866574     
          33  4.439971410504177E-002
          34  1.812088784620642E-003
          35  3.707184359396690E-006
          36  7.942134084858676E-004
          37  1.630223161411216E-004
          38  3.500082466373245E-004
          39  3.816581953070814E-004
