 # Mode   Huang-Rhys factor
           1 -6.169028481558218E-027
           2  3.751542075706744E-027
           3  8.525459563081959E-027
           4  2.314742094648445E-028
           5  2.033775400945423E-003
           6  0.107273034142738     
           7  7.438525447354765E-027
           8  1.240688265182612E-026
           9  1.236516090288106E-003
          10  0.402064919837946     
          11  5.861860565142706E-027
          12  6.917582209303044E-028
          13  0.298041025728627     
          14  2.816945549372918E-028
          15  2.998838563486750E-005
          16  1.060924537215445E-027
          17  3.364042608040204E-028
          18  4.627318650927264E-028
          19  9.505599514328373E-003
          20  4.482062983097438E-029
          21  0.249056437852853     
          22  5.845264575774879E-002
          23  2.650988883723461E-003
          24  2.612046257247031E-005
          25  0.166249362960547     
          26  0.117055483642880     
          27  3.122779953122648E-002
          28  2.938735958119858E-002
          29  7.036314687443022E-002
          30  6.711561479210360E-003
          31  0.118934520234744     
          32  0.137410008818816     
          33  8.699578648592152E-002
          34  2.941787180177929E-003
          35  0.442257439349094     
          36  3.989976907350325E-002
          37  8.075420946412354E-002
          38  5.844858731011737E-005
          39  1.001958215684731E-003
          40  6.652420089688767E-005
          41  3.301932359083153E-004
          42  2.008330878064338E-006
