 # Mode   Huang-Rhys factor
           1  4.262842219180286E-027
           2  8.908141058293352E-026
           3  2.486870760404257E-026
           4  2.470273555766568E-002
           5  5.943033392885474E-028
           6  2.959854736271205E-002
           7  3.841010235280384E-027
           8  2.407703368573463E-002
           9  2.916717422675642E-029
          10  2.139416385482741E-027
          11  0.170636071096536     
          12  6.987779781931030E-030
          13  1.521474347516609E-028
          14  8.333308441363896E-003
          15  1.037677296628312E-026
          16  4.398874224641002E-027
          17  1.245975120140750E-002
          18  2.015672092980640E-002
          19  3.387921584211956E-028
          20  6.159173867239992E-003
          21  2.438886057154352E-002
          22  4.944453448626410E-003
          23  0.119548492688114     
          24  8.300979354509737E-002
          25  0.230673517879911     
          26  4.711106463947386E-004
          27  0.347078757446657     
          28  5.893112017430583E-004
          29  9.007733789050009E-004
          30  2.200414512308475E-002
          31  0.613747496983841     
          32  1.484402528288993E-002
          33  0.118884790097957     
          34  8.103400422712423E-002
          35  9.741489817084570E-004
          36  1.799655783073717E-003
          37  1.199879240359553E-003
          38  5.377708852449227E-005
          39  1.910603804206648E-008
