# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     5.3160  eV
#     vib freq     dsigma/dOmega
       0.0000         0.98766E+06
     108.5770         0.43768E+03
     147.3594         0.33660E+01
     151.6440         0.62722E+01
     280.1280         0.17448E+03
     296.0279         0.10643E+03
     396.8479         0.31512E+04
     400.1156         0.69825E+03
     466.3041         0.34733E+04
     554.3560         0.61952E+04
     554.8476         0.89696E+02
     615.3021         0.44889E+04
     671.0284         0.43837E+02
     744.6052         0.59706E+04
     773.5632         0.24359E+01
     779.8878         0.67065E+02
     816.2598         0.93626E+04
     928.4716         0.96228E+03
     980.6945         0.27852E+04
    1033.7507         0.59868E+04
    1079.1456         0.24997E+03
    1172.7219         0.49030E+04
    1216.2715         0.18436E+05
    1248.9032         0.27200E+05
    1390.6017         0.11160E+06
    1424.5589         0.28896E+04
    1435.1168         0.13426E+04
    1448.0939         0.44984E+04
    1476.8132         0.45633E-01
    1501.5438         0.53921E+04
    1524.1819         0.17501E+05
    1740.4536         0.19575E+06
    1797.5726         0.74340E+05
    1836.2278         0.21491E+05
    3060.4326         0.12751E+04
    3120.4254         0.65671E+02
    3138.3661         0.25500E+03
    3217.6725         0.57784E+04
    3623.8158         0.54895E+03
    3667.3273         0.12651E+04
