# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.57960E+04
       0.0000      32294.4222         0.58176E+04
       0.0000      32326.6843         0.58394E+04
       0.0000      32358.9465         0.58613E+04
       0.0000      32391.2086         0.58833E+04
       0.0000      32423.4708         0.59055E+04
       0.0000      32455.7330         0.59278E+04
       0.0000      32487.9951         0.59503E+04
       0.0000      32520.2573         0.59729E+04
       0.0000      32552.5194         0.59956E+04
       0.0000      32584.7816         0.60184E+04
       0.0000      32617.0438         0.60414E+04
       0.0000      32649.3059         0.60645E+04
       0.0000      32681.5681         0.60878E+04
       0.0000      32713.8302         0.61112E+04
       0.0000      32746.0924         0.61348E+04
       0.0000      32778.3546         0.61585E+04
       0.0000      32810.6167         0.61823E+04
       0.0000      32842.8789         0.62063E+04
       0.0000      32875.1410         0.62305E+04
       0.0000      32907.4032         0.62547E+04
       0.0000      32939.6654         0.62792E+04
       0.0000      32971.9275         0.63037E+04
       0.0000      33004.1897         0.63285E+04
       0.0000      33036.4518         0.63534E+04
       0.0000      33068.7140         0.63784E+04
       0.0000      33100.9762         0.64036E+04
       0.0000      33133.2383         0.64289E+04
       0.0000      33165.5005         0.64544E+04
       0.0000      33197.7626         0.64801E+04
       0.0000      33230.0248         0.65059E+04
       0.0000      33262.2870         0.65319E+04
       0.0000      33294.5491         0.65580E+04
       0.0000      33326.8113         0.65843E+04
       0.0000      33359.0734         0.66107E+04
       0.0000      33391.3356         0.66374E+04
       0.0000      33423.5978         0.66641E+04
       0.0000      33455.8599         0.66911E+04
       0.0000      33488.1221         0.67182E+04
       0.0000      33520.3842         0.67455E+04
       0.0000      33552.6464         0.67730E+04
       0.0000      33584.9086         0.68006E+04
       0.0000      33617.1707         0.68284E+04
       0.0000      33649.4329         0.68564E+04
       0.0000      33681.6950         0.68845E+04
       0.0000      33713.9572         0.69128E+04
       0.0000      33746.2194         0.69413E+04
       0.0000      33778.4815         0.69700E+04
       0.0000      33810.7437         0.69989E+04
       0.0000      33843.0058         0.70279E+04
       0.0000      33875.2680         0.70571E+04
       0.0000      33907.5302         0.70866E+04
       0.0000      33939.7923         0.71161E+04
       0.0000      33972.0545         0.71459E+04
       0.0000      34004.3166         0.71759E+04
       0.0000      34036.5788         0.72061E+04
       0.0000      34068.8410         0.72364E+04
       0.0000      34101.1031         0.72669E+04
       0.0000      34133.3653         0.72977E+04
       0.0000      34165.6274         0.73286E+04
       0.0000      34197.8896         0.73597E+04
       0.0000      34230.1518         0.73911E+04
       0.0000      34262.4139         0.74226E+04
       0.0000      34294.6761         0.74543E+04
       0.0000      34326.9382         0.74862E+04
       0.0000      34359.2004         0.75184E+04
       0.0000      34391.4626         0.75507E+04
       0.0000      34423.7247         0.75833E+04
       0.0000      34455.9869         0.76160E+04
       0.0000      34488.2490         0.76490E+04
       0.0000      34520.5112         0.76822E+04
       0.0000      34552.7734         0.77155E+04
       0.0000      34585.0355         0.77492E+04
       0.0000      34617.2977         0.77830E+04
       0.0000      34649.5598         0.78170E+04
       0.0000      34681.8220         0.78513E+04
       0.0000      34714.0842         0.78858E+04
       0.0000      34746.3463         0.79205E+04
       0.0000      34778.6085         0.79554E+04
       0.0000      34810.8706         0.79906E+04
       0.0000      34843.1328         0.80260E+04
       0.0000      34875.3950         0.80616E+04
       0.0000      34907.6571         0.80974E+04
       0.0000      34939.9193         0.81335E+04
       0.0000      34972.1814         0.81699E+04
       0.0000      35004.4436         0.82064E+04
       0.0000      35036.7058         0.82432E+04
       0.0000      35068.9679         0.82803E+04
       0.0000      35101.2301         0.83176E+04
       0.0000      35133.4922         0.83551E+04
       0.0000      35165.7544         0.83929E+04
