# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.29388E+04
       0.0000      32294.4222         0.30416E+04
       0.0000      32326.6843         0.31449E+04
       0.0000      32358.9465         0.32486E+04
       0.0000      32391.2086         0.33526E+04
       0.0000      32423.4708         0.34568E+04
       0.0000      32455.7330         0.35610E+04
       0.0000      32487.9951         0.36651E+04
       0.0000      32520.2573         0.37689E+04
       0.0000      32552.5194         0.38723E+04
       0.0000      32584.7816         0.39752E+04
       0.0000      32617.0438         0.40775E+04
       0.0000      32649.3059         0.41790E+04
       0.0000      32681.5681         0.42796E+04
       0.0000      32713.8302         0.43792E+04
       0.0000      32746.0924         0.44778E+04
       0.0000      32778.3546         0.45751E+04
       0.0000      32810.6167         0.46712E+04
       0.0000      32842.8789         0.47659E+04
       0.0000      32875.1410         0.48591E+04
       0.0000      32907.4032         0.49508E+04
       0.0000      32939.6654         0.50410E+04
       0.0000      32971.9275         0.51294E+04
       0.0000      33004.1897         0.52162E+04
       0.0000      33036.4518         0.53013E+04
       0.0000      33068.7140         0.53846E+04
       0.0000      33100.9762         0.54661E+04
       0.0000      33133.2383         0.55458E+04
       0.0000      33165.5005         0.56237E+04
       0.0000      33197.7626         0.56997E+04
       0.0000      33230.0248         0.57739E+04
       0.0000      33262.2870         0.58463E+04
       0.0000      33294.5491         0.59169E+04
       0.0000      33326.8113         0.59857E+04
       0.0000      33359.0734         0.60527E+04
       0.0000      33391.3356         0.61179E+04
       0.0000      33423.5978         0.61815E+04
       0.0000      33455.8599         0.62434E+04
       0.0000      33488.1221         0.63036E+04
       0.0000      33520.3842         0.63623E+04
       0.0000      33552.6464         0.64194E+04
       0.0000      33584.9086         0.64751E+04
       0.0000      33617.1707         0.65293E+04
       0.0000      33649.4329         0.65821E+04
       0.0000      33681.6950         0.66336E+04
       0.0000      33713.9572         0.66839E+04
       0.0000      33746.2194         0.67329E+04
       0.0000      33778.4815         0.67809E+04
       0.0000      33810.7437         0.68277E+04
       0.0000      33843.0058         0.68735E+04
       0.0000      33875.2680         0.69183E+04
       0.0000      33907.5302         0.69622E+04
       0.0000      33939.7923         0.70053E+04
       0.0000      33972.0545         0.70476E+04
       0.0000      34004.3166         0.70891E+04
       0.0000      34036.5788         0.71300E+04
       0.0000      34068.8410         0.71702E+04
       0.0000      34101.1031         0.72099E+04
       0.0000      34133.3653         0.72490E+04
       0.0000      34165.6274         0.72877E+04
       0.0000      34197.8896         0.73259E+04
       0.0000      34230.1518         0.73637E+04
       0.0000      34262.4139         0.74012E+04
       0.0000      34294.6761         0.74384E+04
       0.0000      34326.9382         0.74753E+04
       0.0000      34359.2004         0.75120E+04
       0.0000      34391.4626         0.75484E+04
       0.0000      34423.7247         0.75848E+04
       0.0000      34455.9869         0.76210E+04
       0.0000      34488.2490         0.76571E+04
       0.0000      34520.5112         0.76931E+04
       0.0000      34552.7734         0.77291E+04
       0.0000      34585.0355         0.77650E+04
       0.0000      34617.2977         0.78010E+04
       0.0000      34649.5598         0.78370E+04
       0.0000      34681.8220         0.78730E+04
       0.0000      34714.0842         0.79091E+04
       0.0000      34746.3463         0.79452E+04
       0.0000      34778.6085         0.79815E+04
       0.0000      34810.8706         0.80178E+04
       0.0000      34843.1328         0.80543E+04
       0.0000      34875.3950         0.80909E+04
       0.0000      34907.6571         0.81277E+04
       0.0000      34939.9193         0.81646E+04
       0.0000      34972.1814         0.82017E+04
       0.0000      35004.4436         0.82390E+04
       0.0000      35036.7058         0.82765E+04
       0.0000      35068.9679         0.83141E+04
       0.0000      35101.2301         0.83520E+04
       0.0000      35133.4922         0.83901E+04
       0.0000      35165.7544         0.84283E+04
       0.0000      35198.0166         0.84668E+04
       0.0000      35230.2787         0.85056E+04
       0.0000      35262.5409         0.85446E+04
       0.0000      35294.8030         0.85838E+04
       0.0000      35327.0652         0.86232E+04
       0.0000      35359.3274         0.86629E+04
       0.0000      35391.5895         0.87029E+04
       0.0000      35423.8517         0.87431E+04
       0.0000      35456.1138         0.87835E+04
       0.0000      35488.3760         0.88243E+04
       0.0000      35520.6382         0.88653E+04
       0.0000      35552.9003         0.89065E+04
       0.0000      35585.1625         0.89481E+04
       0.0000      35617.4246         0.89899E+04
       0.0000      35649.6868         0.90320E+04
       0.0000      35681.9490         0.90743E+04
       0.0000      35714.2111         0.91170E+04
       0.0000      35746.4733         0.91599E+04
       0.0000      35778.7354         0.92032E+04
       0.0000      35810.9976         0.92467E+04
       0.0000      35843.2598         0.92905E+04
       0.0000      35875.5219         0.93347E+04
       0.0000      35907.7841         0.93791E+04
       0.0000      35940.0462         0.94238E+04
       0.0000      35972.3084         0.94689E+04
       0.0000      36004.5706         0.95142E+04
       0.0000      36036.8327         0.95599E+04
       0.0000      36069.0949         0.96059E+04
       0.0000      36101.3570         0.96522E+04
       0.0000      36133.6192         0.96988E+04
       0.0000      36165.8814         0.97457E+04
       0.0000      36198.1435         0.97930E+04
       0.0000      36230.4057         0.98406E+04
       0.0000      36262.6678         0.98886E+04
       0.0000      36294.9300         0.99368E+04
       0.0000      36327.1922         0.99854E+04
       0.0000      36359.4543         0.10034E+05
       0.0000      36391.7165         0.10084E+05
       0.0000      36423.9786         0.10133E+05
       0.0000      36456.2408         0.10183E+05
       0.0000      36488.5030         0.10234E+05
       0.0000      36520.7651         0.10284E+05
       0.0000      36553.0273         0.10335E+05
       0.0000      36585.2894         0.10387E+05
       0.0000      36617.5516         0.10439E+05
       0.0000      36649.8138         0.10491E+05
       0.0000      36682.0759         0.10543E+05
       0.0000      36714.3381         0.10596E+05
       0.0000      36746.6002         0.10650E+05
       0.0000      36778.8624         0.10703E+05
       0.0000      36811.1246         0.10757E+05
       0.0000      36843.3867         0.10812E+05
       0.0000      36875.6489         0.10867E+05
       0.0000      36907.9110         0.10922E+05
       0.0000      36940.1732         0.10977E+05
       0.0000      36972.4354         0.11033E+05
       0.0000      37004.6975         0.11090E+05
       0.0000      37036.9597         0.11147E+05
       0.0000      37069.2218         0.11204E+05
       0.0000      37101.4840         0.11262E+05
       0.0000      37133.7462         0.11320E+05
       0.0000      37166.0083         0.11378E+05
       0.0000      37198.2705         0.11437E+05
       0.0000      37230.5326         0.11497E+05
       0.0000      37262.7948         0.11556E+05
       0.0000      37295.0570         0.11617E+05
       0.0000      37327.3191         0.11677E+05
       0.0000      37359.5813         0.11739E+05
       0.0000      37391.8434         0.11800E+05
       0.0000      37424.1056         0.11862E+05
       0.0000      37456.3678         0.11925E+05
       0.0000      37488.6299         0.11988E+05
       0.0000      37520.8921         0.12051E+05
       0.0000      37553.1542         0.12115E+05
       0.0000      37585.4164         0.12180E+05
       0.0000      37617.6786         0.12245E+05
       0.0000      37649.9407         0.12310E+05
       0.0000      37682.2029         0.12376E+05
       0.0000      37714.4650         0.12442E+05
       0.0000      37746.7272         0.12509E+05
       0.0000      37778.9894         0.12577E+05
       0.0000      37811.2515         0.12645E+05
       0.0000      37843.5137         0.12713E+05
       0.0000      37875.7758         0.12782E+05
       0.0000      37908.0380         0.12851E+05
       0.0000      37940.3002         0.12921E+05
       0.0000      37972.5623         0.12992E+05
       0.0000      38004.8245         0.13063E+05
       0.0000      38037.0866         0.13135E+05
       0.0000      38069.3488         0.13207E+05
       0.0000      38101.6110         0.13280E+05
       0.0000      38133.8731         0.13353E+05
       0.0000      38166.1353         0.13427E+05
       0.0000      38198.3974         0.13501E+05
       0.0000      38230.6596         0.13576E+05
       0.0000      38262.9218         0.13652E+05
       0.0000      38295.1839         0.13728E+05
       0.0000      38327.4461         0.13805E+05
       0.0000      38359.7082         0.13882E+05
       0.0000      38391.9704         0.13960E+05
       0.0000      38424.2326         0.14039E+05
       0.0000      38456.4947         0.14118E+05
       0.0000      38488.7569         0.14198E+05
       0.0000      38521.0190         0.14279E+05
       0.0000      38553.2812         0.14360E+05
       0.0000      38585.5434         0.14441E+05
       0.0000      38617.8055         0.14524E+05
       0.0000      38650.0677         0.14607E+05
       0.0000      38682.3298         0.14691E+05
       0.0000      38714.5920         0.14775E+05
       0.0000      38746.8542         0.14860E+05
       0.0000      38779.1163         0.14946E+05
       0.0000      38811.3785         0.15033E+05
