# full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
#     vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.38464E-05
       0.0000      32294.4222         0.38880E-05
       0.0000      32326.6843         0.39302E-05
       0.0000      32358.9465         0.39730E-05
       0.0000      32391.2086         0.40165E-05
       0.0000      32423.4708         0.40605E-05
       0.0000      32455.7330         0.41052E-05
       0.0000      32487.9951         0.41505E-05
       0.0000      32520.2573         0.41965E-05
       0.0000      32552.5194         0.42432E-05
       0.0000      32584.7816         0.42905E-05
       0.0000      32617.0438         0.43386E-05
       0.0000      32649.3059         0.43873E-05
       0.0000      32681.5681         0.44368E-05
       0.0000      32713.8302         0.44870E-05
       0.0000      32746.0924         0.45380E-05
       0.0000      32778.3546         0.45897E-05
       0.0000      32810.6167         0.46422E-05
       0.0000      32842.8789         0.46955E-05
       0.0000      32875.1410         0.47496E-05
       0.0000      32907.4032         0.48046E-05
       0.0000      32939.6654         0.48603E-05
       0.0000      32971.9275         0.49170E-05
       0.0000      33004.1897         0.49745E-05
       0.0000      33036.4518         0.50329E-05
       0.0000      33068.7140         0.50923E-05
       0.0000      33100.9762         0.51525E-05
       0.0000      33133.2383         0.52138E-05
       0.0000      33165.5005         0.52759E-05
       0.0000      33197.7626         0.53391E-05
       0.0000      33230.0248         0.54033E-05
       0.0000      33262.2870         0.54685E-05
       0.0000      33294.5491         0.55348E-05
       0.0000      33326.8113         0.56022E-05
       0.0000      33359.0734         0.56707E-05
       0.0000      33391.3356         0.57402E-05
       0.0000      33423.5978         0.58110E-05
       0.0000      33455.8599         0.58829E-05
       0.0000      33488.1221         0.59560E-05
       0.0000      33520.3842         0.60303E-05
       0.0000      33552.6464         0.61059E-05
       0.0000      33584.9086         0.61828E-05
       0.0000      33617.1707         0.62610E-05
       0.0000      33649.4329         0.63405E-05
       0.0000      33681.6950         0.64214E-05
       0.0000      33713.9572         0.65037E-05
       0.0000      33746.2194         0.65874E-05
       0.0000      33778.4815         0.66726E-05
       0.0000      33810.7437         0.67593E-05
       0.0000      33843.0058         0.68475E-05
       0.0000      33875.2680         0.69373E-05
       0.0000      33907.5302         0.70287E-05
       0.0000      33939.7923         0.71217E-05
       0.0000      33972.0545         0.72164E-05
       0.0000      34004.3166         0.73129E-05
       0.0000      34036.5788         0.74111E-05
       0.0000      34068.8410         0.75112E-05
       0.0000      34101.1031         0.76130E-05
       0.0000      34133.3653         0.77168E-05
       0.0000      34165.6274         0.78226E-05
       0.0000      34197.8896         0.79303E-05
       0.0000      34230.1518         0.80401E-05
       0.0000      34262.4139         0.81520E-05
       0.0000      34294.6761         0.82660E-05
       0.0000      34326.9382         0.83823E-05
       0.0000      34359.2004         0.85008E-05
       0.0000      34391.4626         0.86216E-05
       0.0000      34423.7247         0.87449E-05
       0.0000      34455.9869         0.88705E-05
       0.0000      34488.2490         0.89987E-05
       0.0000      34520.5112         0.91295E-05
       0.0000      34552.7734         0.92630E-05
       0.0000      34585.0355         0.93991E-05
       0.0000      34617.2977         0.95381E-05
       0.0000      34649.5598         0.96800E-05
       0.0000      34681.8220         0.98248E-05
       0.0000      34714.0842         0.99727E-05
       0.0000      34746.3463         0.10124E-04
       0.0000      34778.6085         0.10278E-04
       0.0000      34810.8706         0.10435E-04
       0.0000      34843.1328         0.10596E-04
       0.0000      34875.3950         0.10761E-04
       0.0000      34907.6571         0.10929E-04
       0.0000      34939.9193         0.11101E-04
       0.0000      34972.1814         0.11277E-04
       0.0000      35004.4436         0.11456E-04
       0.0000      35036.7058         0.11640E-04
       0.0000      35068.9679         0.11828E-04
       0.0000      35101.2301         0.12020E-04
       0.0000      35133.4922         0.12217E-04
       0.0000      35165.7544         0.12418E-04
       0.0000      35198.0166         0.12624E-04
       0.0000      35230.2787         0.12836E-04
       0.0000      35262.5409         0.13052E-04
       0.0000      35294.8030         0.13273E-04
       0.0000      35327.0652         0.13500E-04
       0.0000      35359.3274         0.13733E-04
       0.0000      35391.5895         0.13971E-04
       0.0000      35423.8517         0.14215E-04
       0.0000      35456.1138         0.14466E-04
       0.0000      35488.3760         0.14723E-04
       0.0000      35520.6382         0.14987E-04
       0.0000      35552.9003         0.15258E-04
       0.0000      35585.1625         0.15535E-04
       0.0000      35617.4246         0.15821E-04
       0.0000      35649.6868         0.16114E-04
       0.0000      35681.9490         0.16415E-04
       0.0000      35714.2111         0.16724E-04
       0.0000      35746.4733         0.17043E-04
       0.0000      35778.7354         0.17370E-04
       0.0000      35810.9976         0.17706E-04
       0.0000      35843.2598         0.18052E-04
       0.0000      35875.5219         0.18409E-04
       0.0000      35907.7841         0.18776E-04
       0.0000      35940.0462         0.19153E-04
       0.0000      35972.3084         0.19543E-04
       0.0000      36004.5706         0.19944E-04
       0.0000      36036.8327         0.20358E-04
       0.0000      36069.0949         0.20785E-04
       0.0000      36101.3570         0.21225E-04
       0.0000      36133.6192         0.21680E-04
       0.0000      36165.8814         0.22150E-04
       0.0000      36198.1435         0.22635E-04
       0.0000      36230.4057         0.23137E-04
       0.0000      36262.6678         0.23655E-04
       0.0000      36294.9300         0.24192E-04
       0.0000      36327.1922         0.24748E-04
       0.0000      36359.4543         0.25323E-04
       0.0000      36391.7165         0.25920E-04
       0.0000      36423.9786         0.26538E-04
       0.0000      36456.2408         0.27179E-04
       0.0000      36488.5030         0.27845E-04
       0.0000      36520.7651         0.28537E-04
       0.0000      36553.0273         0.29255E-04
       0.0000      36585.2894         0.30003E-04
       0.0000      36617.5516         0.30780E-04
       0.0000      36649.8138         0.31590E-04
       0.0000      36682.0759         0.32434E-04
       0.0000      36714.3381         0.33315E-04
       0.0000      36746.6002         0.34233E-04
       0.0000      36778.8624         0.35193E-04
       0.0000      36811.1246         0.36196E-04
       0.0000      36843.3867         0.37245E-04
       0.0000      36875.6489         0.38344E-04
       0.0000      36907.9110         0.39497E-04
       0.0000      36940.1732         0.40705E-04
       0.0000      36972.4354         0.41975E-04
       0.0000      37004.6975         0.43310E-04
       0.0000      37036.9597         0.44714E-04
       0.0000      37069.2218         0.46195E-04
       0.0000      37101.4840         0.47756E-04
       0.0000      37133.7462         0.49405E-04
       0.0000      37166.0083         0.51149E-04
       0.0000      37198.2705         0.52995E-04
       0.0000      37230.5326         0.54953E-04
       0.0000      37262.7948         0.57031E-04
       0.0000      37295.0570         0.59240E-04
       0.0000      37327.3191         0.61592E-04
       0.0000      37359.5813         0.64100E-04
       0.0000      37391.8434         0.66777E-04
       0.0000      37424.1056         0.69638E-04
       0.0000      37456.3678         0.72702E-04
       0.0000      37488.6299         0.75987E-04
       0.0000      37520.8921         0.79512E-04
       0.0000      37553.1542         0.83298E-04
       0.0000      37585.4164         0.87370E-04
       0.0000      37617.6786         0.91750E-04
       0.0000      37649.9407         0.96462E-04
       0.0000      37682.2029         0.10153E-03
       0.0000      37714.4650         0.10697E-03
       0.0000      37746.7272         0.11279E-03
       0.0000      37778.9894         0.11900E-03
       0.0000      37811.2515         0.12557E-03
       0.0000      37843.5137         0.13248E-03
       0.0000      37875.7758         0.13962E-03
       0.0000      37908.0380         0.14688E-03
