 # Mode   Huang-Rhys factor
           1  7.190399266354115E-022
           2  3.680379194463022E-021
           3  1.470667145487521E-020
           4  1.486729118535205E-002
           5  1.434599946188436E-022
           6  0.180222714653534     
           7  6.207143781062008E-021
           8  0.212607047764839     
           9  0.103472374525351     
          10  7.059669658121082E-022
          11  5.497781808946586E-003
          12  6.450060626456153E-025
          13  7.732882388234183E-003
          14  3.753087226968914E-026
          15  9.797463675792845E-025
          16  6.605234256958313E-004
          17  3.746328840663042E-024
          18  7.022683628960073E-003
          19  1.867026523023968E-002
          20  4.865611099271312E-024
          21  0.173816950982118     
          22  0.183515785218134     
          23  3.975608808918754E-002
          24  9.478167403217075E-002
          25  4.659061815287128E-003
          26  2.572713269195932E-002
          27  6.479743450433124E-002
          28  1.736249454252189E-024
          29  2.105727678404168E-003
          30  5.230938862691003E-002
          31  0.349166608850919     
          32  6.827393872968864E-005
          33  2.640646252026249E-002
          34  1.267324658967295E-004
          35  3.313455213292022E-026
          36  8.144402094954267E-004
          37  2.244504735751849E-003
          38  1.484092494013695E-004
          39  7.353373281861500E-002
