# full RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
# at incident freq = ABS maximum     5.9440  eV
#     vib freq     dsigma/dOmega
       0.0000         0.14154E+02
     108.5770         0.81246E-22
     147.3594         0.86159E-21
     151.6440         0.36891E-20
     280.1280         0.15690E-01
     296.0279         0.16998E-21
     396.8479         0.36215E+00
     400.1156         0.12629E-19
     466.3041         0.53325E+00
     554.3560         0.31787E+00
     554.8476         0.21710E-20
     615.3021         0.19061E-01
     671.0284         0.24923E-23
     744.6052         0.34562E-01
     773.5632         0.17755E-24
     779.8878         0.46917E-23
     816.2598         0.33822E-02
     928.4716         0.22152E-22
     980.6945         0.42472E-01
    1033.7507         0.11223E+00
    1079.1456         0.28506E-22
    1172.7219         0.91928E+00
    1216.2715         0.90867E+00
    1248.9032         0.18642E+00
    1390.6017         0.36279E+00
    1424.5589         0.17633E-01
    1435.1168         0.97498E-01
    1448.0939         0.24678E+00
    1476.8132         0.67694E-23
    1501.5438         0.84833E-02
    1524.1819         0.21893E+00
    1740.4536         0.22044E+01
    1797.5726         0.48043E-03
    1836.2278         0.20458E+00
    3060.4326         0.25006E-02
    3120.4254         0.63918E-24
    3138.3661         0.15608E-01
    3217.6725         0.41820E-01
    3623.8158         0.24428E-02
    3667.3273         0.11963E+01
