  Raman shift    inc freq             spec           a**2         g**2         d**2
  
 osc           1  nq max           0
       0.00      32262.16         0.38139E+03   0.16113E+03   0.14160E+04   0.00000E+00
       0.00      32302.49         0.38344E+03   0.16200E+03   0.14236E+04   0.00000E+00
       0.00      32342.82         0.38550E+03   0.16287E+03   0.14312E+04   0.00000E+00
       0.00      32383.14         0.38759E+03   0.16375E+03   0.14390E+04   0.00000E+00
       0.00      32423.47         0.38970E+03   0.16464E+03   0.14468E+04   0.00000E+00
       0.00      32463.80         0.39184E+03   0.16554E+03   0.14548E+04   0.00000E+00
       0.00      32504.13         0.39399E+03   0.16645E+03   0.14628E+04   0.00000E+00
       0.00      32544.45         0.39617E+03   0.16737E+03   0.14709E+04   0.00000E+00
       0.00      32584.78         0.39837E+03   0.16830E+03   0.14791E+04   0.00000E+00
       0.00      32625.11         0.40060E+03   0.16924E+03   0.14873E+04   0.00000E+00
       0.00      32665.44         0.40285E+03   0.17019E+03   0.14957E+04   0.00000E+00
       0.00      32705.76         0.40513E+03   0.17115E+03   0.15042E+04   0.00000E+00
       0.00      32746.09         0.40743E+03   0.17212E+03   0.15127E+04   0.00000E+00
       0.00      32786.42         0.40975E+03   0.17310E+03   0.15214E+04   0.00000E+00
       0.00      32826.75         0.41211E+03   0.17409E+03   0.15301E+04   0.00000E+00
       0.00      32867.08         0.41448E+03   0.17509E+03   0.15389E+04   0.00000E+00
       0.00      32907.40         0.41689E+03   0.17611E+03   0.15479E+04   0.00000E+00
       0.00      32947.73         0.41932E+03   0.17714E+03   0.15569E+04   0.00000E+00
       0.00      32988.06         0.42178E+03   0.17817E+03   0.15661E+04   0.00000E+00
       0.00      33028.39         0.42427E+03   0.17922E+03   0.15753E+04   0.00000E+00
       0.00      33068.71         0.42678E+03   0.18028E+03   0.15846E+04   0.00000E+00
       0.00      33109.04         0.42932E+03   0.18135E+03   0.15941E+04   0.00000E+00
       0.00      33149.37         0.43190E+03   0.18244E+03   0.16037E+04   0.00000E+00
       0.00      33189.70         0.43450E+03   0.18354E+03   0.16133E+04   0.00000E+00
       0.00      33230.02         0.43713E+03   0.18465E+03   0.16231E+04   0.00000E+00
       0.00      33270.35         0.43979E+03   0.18577E+03   0.16330E+04   0.00000E+00
       0.00      33310.68         0.44248E+03   0.18690E+03   0.16430E+04   0.00000E+00
       0.00      33351.01         0.44521E+03   0.18805E+03   0.16531E+04   0.00000E+00
       0.00      33391.34         0.44796E+03   0.18922E+03   0.16634E+04   0.00000E+00
       0.00      33431.66         0.45075E+03   0.19039E+03   0.16737E+04   0.00000E+00
       0.00      33471.99         0.45357E+03   0.19158E+03   0.16842E+04   0.00000E+00
