 full2D RR spectrum in 10**-30 cm**2 sr**-1 molec**-1
      vib freq    incident freq      dsigma/dOmega
       0.0000      32262.1600         0.12066E+05
       0.0000      32302.4877         0.12189E+05
       0.0000      32342.8154         0.12314E+05
       0.0000      32383.1431         0.12441E+05
       0.0000      32423.4708         0.12569E+05
       0.0000      32463.7985         0.12698E+05
       0.0000      32504.1262         0.12830E+05
       0.0000      32544.4539         0.12963E+05
       0.0000      32584.7816         0.13097E+05
       0.0000      32625.1093         0.13233E+05
       0.0000      32665.4370         0.13371E+05
       0.0000      32705.7647         0.13511E+05
       0.0000      32746.0924         0.13653E+05
       0.0000      32786.4201         0.13796E+05
       0.0000      32826.7478         0.13941E+05
       0.0000      32867.0755         0.14088E+05
       0.0000      32907.4032         0.14237E+05
       0.0000      32947.7309         0.14388E+05
       0.0000      32988.0586         0.14540E+05
       0.0000      33028.3863         0.14695E+05
       0.0000      33068.7140         0.14852E+05
       0.0000      33109.0417         0.15010E+05
       0.0000      33149.3694         0.15171E+05
       0.0000      33189.6971         0.15334E+05
       0.0000      33230.0248         0.15499E+05
       0.0000      33270.3525         0.15666E+05
       0.0000      33310.6802         0.15836E+05
       0.0000      33351.0079         0.16008E+05
       0.0000      33391.3356         0.16182E+05
       0.0000      33431.6633         0.16358E+05
       0.0000      33471.9910         0.16537E+05
       0.0000      33512.3187         0.16718E+05
       0.0000      33552.6464         0.16901E+05
       0.0000      33592.9741         0.17087E+05
       0.0000      33633.3018         0.17276E+05
       0.0000      33673.6295         0.17467E+05
       0.0000      33713.9572         0.17660E+05
       0.0000      33754.2849         0.17857E+05
       0.0000      33794.6126         0.18056E+05
       0.0000      33834.9403         0.18258E+05
       0.0000      33875.2680         0.18462E+05
       0.0000      33915.5957         0.18670E+05
       0.0000      33955.9234         0.18880E+05
       0.0000      33996.2511         0.19093E+05
       0.0000      34036.5788         0.19310E+05
       0.0000      34076.9065         0.19529E+05
       0.0000      34117.2342         0.19751E+05
       0.0000      34157.5619         0.19977E+05
       0.0000      34197.8896         0.20206E+05
       0.0000      34238.2173         0.20438E+05
       0.0000      34278.5450         0.20673E+05
       0.0000      34318.8727         0.20912E+05
       0.0000      34359.2004         0.21154E+05
       0.0000      34399.5281         0.21400E+05
       0.0000      34439.8558         0.21649E+05
       0.0000      34480.1835         0.21902E+05
       0.0000      34520.5112         0.22159E+05
       0.0000      34560.8389         0.22420E+05
       0.0000      34601.1666         0.22684E+05
       0.0000      34641.4943         0.22952E+05
       0.0000      34681.8220         0.23224E+05
       0.0000      34722.1497         0.23501E+05
       0.0000      34762.4774         0.23781E+05
       0.0000      34802.8051         0.24066E+05
       0.0000      34843.1328         0.24355E+05
       0.0000      34883.4605         0.24649E+05
       0.0000      34923.7882         0.24946E+05
       0.0000      34964.1159         0.25249E+05
       0.0000      35004.4436         0.25556E+05
       0.0000      35044.7713         0.25868E+05
       0.0000      35085.0990         0.26185E+05
       0.0000      35125.4267         0.26506E+05
       0.0000      35165.7544         0.26833E+05
       0.0000      35206.0821         0.27165E+05
       0.0000      35246.4098         0.27502E+05
       0.0000      35286.7375         0.27844E+05
       0.0000      35327.0652         0.28192E+05
       0.0000      35367.3929         0.28546E+05
       0.0000      35407.7206         0.28905E+05
       0.0000      35448.0483         0.29270E+05
       0.0000      35488.3760         0.29640E+05
       0.0000      35528.7037         0.30017E+05
       0.0000      35569.0314         0.30400E+05
       0.0000      35609.3591         0.30790E+05
       0.0000      35649.6868         0.31185E+05
       0.0000      35690.0145         0.31588E+05
       0.0000      35730.3422         0.31997E+05
       0.0000      35770.6699         0.32412E+05
       0.0000      35810.9976         0.32835E+05
       0.0000      35851.3253         0.33265E+05
       0.0000      35891.6530         0.33702E+05
       0.0000      35931.9807         0.34147E+05
       0.0000      35972.3084         0.34599E+05
       0.0000      36012.6361         0.35060E+05
       0.0000      36052.9638         0.35528E+05
       0.0000      36093.2915         0.36004E+05
       0.0000      36133.6192         0.36488E+05
       0.0000      36173.9469         0.36981E+05
       0.0000      36214.2746         0.37483E+05
       0.0000      36254.6023         0.37994E+05
       0.0000      36294.9300         0.38514E+05
       0.0000      36335.2577         0.39043E+05
       0.0000      36375.5854         0.39582E+05
       0.0000      36415.9131         0.40130E+05
       0.0000      36456.2408         0.40688E+05
       0.0000      36496.5685         0.41257E+05
       0.0000      36536.8962         0.41836E+05
       0.0000      36577.2239         0.42426E+05
       0.0000      36617.5516         0.43027E+05
       0.0000      36657.8793         0.43639E+05
       0.0000      36698.2070         0.44263E+05
