    Raman shift    inc freq                      X                               Y                                Z
                                            Real       Imag                 Real       Imag                 Real       Imag
      0.00000    32262.16000        0.156430E+01   0.404653E-01     -0.722367E+01  -0.186862E+00     -0.777779E-14  -0.204601E-15

                                   -0.722367E+01  -0.186862E+00      0.333577E+02   0.862897E+00      0.334925E-13   0.862872E-15

                                   -0.777779E-14  -0.204601E-15      0.334925E-13   0.862872E-15      0.623366E-03   0.210724E-04

      0.00000    32302.48770        0.156835E+01   0.407828E-01     -0.724238E+01  -0.188328E+00     -0.779828E-14  -0.206227E-15

                                   -0.724238E+01  -0.188328E+00      0.334441E+02   0.869668E+00      0.335789E-13   0.869622E-15

                                   -0.779828E-14  -0.206227E-15      0.335789E-13   0.869622E-15      0.625474E-03   0.212670E-04

      0.00000    32342.81540        0.157243E+01   0.411035E-01     -0.726124E+01  -0.189809E+00     -0.781892E-14  -0.207869E-15

                                   -0.726124E+01  -0.189809E+00      0.335312E+02   0.876508E+00      0.336660E-13   0.876440E-15

                                   -0.781892E-14  -0.207869E-15      0.336660E-13   0.876440E-15      0.627602E-03   0.214641E-04

      0.00000    32383.14310        0.157655E+01   0.414275E-01     -0.728025E+01  -0.191305E+00     -0.783973E-14  -0.209528E-15

                                   -0.728025E+01  -0.191305E+00      0.336190E+02   0.883417E+00      0.337538E-13   0.883327E-15

                                   -0.783973E-14  -0.209528E-15      0.337538E-13   0.883327E-15      0.629750E-03   0.216638E-04

      0.00000    32423.47080        0.158070E+01   0.417548E-01     -0.729940E+01  -0.192817E+00     -0.786072E-14  -0.211206E-15

                                   -0.729940E+01  -0.192817E+00      0.337074E+02   0.890396E+00      0.338422E-13   0.890284E-15

                                   -0.786072E-14  -0.211206E-15      0.338422E-13   0.890284E-15      0.631918E-03   0.218662E-04

      0.00000    32463.79850        0.158488E+01   0.420854E-01     -0.731871E+01  -0.194344E+00     -0.788186E-14  -0.212900E-15

                                   -0.731871E+01  -0.194344E+00      0.337966E+02   0.897446E+00      0.339314E-13   0.897310E-15

                                   -0.788186E-14  -0.212900E-15      0.339314E-13   0.897310E-15      0.634105E-03   0.220713E-04

      0.00000    32504.12620        0.158909E+01   0.424195E-01     -0.733817E+01  -0.195886E+00     -0.790318E-14  -0.214612E-15

                                   -0.733817E+01  -0.195886E+00      0.338864E+02   0.904570E+00      0.340212E-13   0.904410E-15

                                   -0.790318E-14  -0.214612E-15      0.340212E-13   0.904410E-15      0.636314E-03   0.222791E-04

      0.00000    32544.45390        0.159334E+01   0.427570E-01     -0.735778E+01  -0.197445E+00     -0.792467E-14  -0.216343E-15

                                   -0.735778E+01  -0.197445E+00      0.339770E+02   0.911766E+00      0.341117E-13   0.911581E-15

                                   -0.792467E-14  -0.216343E-15      0.341117E-13   0.911581E-15      0.638543E-03   0.224897E-04

      0.00000    32584.78160        0.159762E+01   0.430980E-01     -0.737755E+01  -0.199019E+00     -0.794632E-14  -0.218092E-15

                                   -0.737755E+01  -0.199019E+00      0.340683E+02   0.919038E+00      0.342030E-13   0.918827E-15

                                   -0.794632E-14  -0.218092E-15      0.342030E-13   0.918827E-15      0.640793E-03   0.227032E-04

      0.00000    32625.10930        0.160194E+01   0.434425E-01     -0.739747E+01  -0.200610E+00     -0.796816E-14  -0.219859E-15

                                   -0.739747E+01  -0.200610E+00      0.341603E+02   0.926385E+00      0.342950E-13   0.926147E-15

                                   -0.796816E-14  -0.219859E-15      0.342950E-13   0.926147E-15      0.643064E-03   0.229195E-04

      0.00000    32665.43700        0.160629E+01   0.437906E-01     -0.741756E+01  -0.202218E+00     -0.799017E-14  -0.221646E-15

                                   -0.741756E+01  -0.202218E+00      0.342531E+02   0.933809E+00      0.343878E-13   0.933544E-15

                                   -0.799017E-14  -0.221646E-15      0.343878E-13   0.933544E-15      0.645357E-03   0.231389E-04

      0.00000    32705.76470        0.161067E+01   0.441424E-01     -0.743781E+01  -0.203842E+00     -0.801236E-14  -0.223451E-15

                                   -0.743781E+01  -0.203842E+00      0.343466E+02   0.941311E+00      0.344812E-13   0.941018E-15

                                   -0.801236E-14  -0.223451E-15      0.344812E-13   0.941018E-15      0.647671E-03   0.233613E-04

      0.00000    32746.09240        0.161509E+01   0.444980E-01     -0.745821E+01  -0.205484E+00     -0.803473E-14  -0.225276E-15

                                   -0.745821E+01  -0.205484E+00      0.344408E+02   0.948892E+00      0.345755E-13   0.948570E-15

                                   -0.803473E-14  -0.225276E-15      0.345755E-13   0.948570E-15      0.650008E-03   0.235867E-04

      0.00000    32786.42010        0.161954E+01   0.448572E-01     -0.747879E+01  -0.207143E+00     -0.805728E-14  -0.227122E-15

                                   -0.747879E+01  -0.207143E+00      0.345358E+02   0.956553E+00      0.346704E-13   0.956202E-15

                                   -0.805728E-14  -0.227122E-15      0.346704E-13   0.956202E-15      0.652368E-03   0.238153E-04

      0.00000    32826.74780        0.162404E+01   0.452204E-01     -0.749953E+01  -0.208820E+00     -0.808002E-14  -0.228987E-15

                                   -0.749953E+01  -0.208820E+00      0.346316E+02   0.964297E+00      0.347661E-13   0.963916E-15

                                   -0.808002E-14  -0.228987E-15      0.347661E-13   0.963916E-15      0.654750E-03   0.240471E-04

      0.00000    32867.07550        0.162856E+01   0.455874E-01     -0.752043E+01  -0.210515E+00     -0.810295E-14  -0.230873E-15

                                   -0.752043E+01  -0.210515E+00      0.347281E+02   0.972123E+00      0.348626E-13   0.971710E-15

                                   -0.810295E-14  -0.230873E-15      0.348626E-13   0.971710E-15      0.657156E-03   0.242822E-04

      0.00000    32907.40320        0.163313E+01   0.459583E-01     -0.754151E+01  -0.212228E+00     -0.812606E-14  -0.232780E-15

                                   -0.754151E+01  -0.212228E+00      0.348254E+02   0.980033E+00      0.349599E-13   0.979587E-15

                                   -0.812606E-14  -0.232780E-15      0.349599E-13   0.979587E-15      0.659584E-03   0.245206E-04

      0.00000    32947.73090        0.163773E+01   0.463333E-01     -0.756276E+01  -0.213959E+00     -0.814936E-14  -0.234707E-15

                                   -0.756276E+01  -0.213959E+00      0.349235E+02   0.988029E+00      0.350580E-13   0.987552E-15

                                   -0.814936E-14  -0.234707E-15      0.350580E-13   0.987552E-15      0.662037E-03   0.247624E-04

      0.00000    32988.05860        0.164237E+01   0.467123E-01     -0.758418E+01  -0.215710E+00     -0.817285E-14  -0.236657E-15

                                   -0.758418E+01  -0.215710E+00      0.350225E+02   0.996111E+00      0.351569E-13   0.995598E-15

                                   -0.817285E-14  -0.236657E-15      0.351569E-13   0.995598E-15      0.664514E-03   0.250077E-04

      0.00000    33028.38630        0.164704E+01   0.470955E-01     -0.760577E+01  -0.217479E+00     -0.819654E-14  -0.238629E-15

                                   -0.760577E+01  -0.217479E+00      0.351222E+02   0.100428E+01      0.352565E-13   0.100373E-14

                                   -0.819654E-14  -0.238629E-15      0.352565E-13   0.100373E-14      0.667015E-03   0.252565E-04

      0.00000    33068.71400        0.165176E+01   0.474828E-01     -0.762754E+01  -0.219268E+00     -0.822043E-14  -0.240621E-15

                                   -0.762754E+01  -0.219268E+00      0.352227E+02   0.101254E+01      0.353570E-13   0.101196E-14

                                   -0.822043E-14  -0.240621E-15      0.353570E-13   0.101196E-14      0.669541E-03   0.255090E-04

      0.00000    33109.04170        0.165651E+01   0.478744E-01     -0.764949E+01  -0.221076E+00     -0.824452E-14  -0.242638E-15

                                   -0.764949E+01  -0.221076E+00      0.353241E+02   0.102089E+01      0.354583E-13   0.102027E-14

                                   -0.824452E-14  -0.242638E-15      0.354583E-13   0.102027E-14      0.672092E-03   0.257651E-04

      0.00000    33149.36940        0.166130E+01   0.482704E-01     -0.767163E+01  -0.222904E+00     -0.826881E-14  -0.244677E-15

                                   -0.767163E+01  -0.222904E+00      0.354263E+02   0.102934E+01      0.355605E-13   0.102868E-14

                                   -0.826881E-14  -0.244677E-15      0.355605E-13   0.102868E-14      0.674669E-03   0.260250E-04

      0.00000    33189.69710        0.166614E+01   0.486707E-01     -0.769394E+01  -0.224753E+00     -0.829331E-14  -0.246739E-15

                                   -0.769394E+01  -0.224753E+00      0.355293E+02   0.103787E+01      0.356634E-13   0.103717E-14

