  Pre-resonance RR spectrum
  According to gradient approx. in arb. units
  
   Raman shift(cm-1)     Intensity(arb units)
   108.577030783360       2.208872136441456E-028
   147.359379799474       9.769514959564823E-029
   151.643994914314       3.238568868676405E-028
   280.127974848631       5.896366674684292E-008
   296.027820154640       8.477080795350410E-030
   396.847875179802       2.910042067887992E-007
   400.115573285560       1.310602689758142E-026
   466.304013252714       3.016187947413806E-008
   554.355886033301       5.296586479484728E-008
   554.847548381666       5.199519627593595E-028
   615.302062735265       3.415354678724978E-007
   671.028257464527       1.435380145090054E-031
   744.605095674334       2.810254666262704E-007
   773.563042930325       1.146361183655940E-029
   779.887740422671       2.458607457787873E-028
   816.259671538793       2.033880321562102E-008
   928.471464255547       2.840849994967946E-028
   980.694358501923       1.379932453596963E-006
   1033.75053170829       1.346587791054216E-006
   1079.14541327967       6.289063294593787E-028
   1172.72175373661       1.206716529579343E-007
   1216.27132712872       3.207455931862761E-006
   1248.90298147651       3.884830322408226E-008
   1390.60154813543       2.524718510425437E-007
   1424.55869770961       4.765701879075930E-006
   1435.11662869548       3.545704806625995E-007
   1448.09372085771       5.438446173376446E-006
   1476.81299468497       5.900765276879999E-029
   1501.54355284060       9.910086567843184E-007
   1524.18171896260       1.129290472921322E-005
   1740.45337994313       9.724459869446920E-009
   1797.57234020618       1.891229683171696E-004
   1836.22751008460       1.340794444198420E-005
   3060.43221963438       1.698644064755371E-008
   3120.42494513038       3.111496585393010E-029
   3138.36563617522       5.885096494132889E-008
   3217.67209962309       6.896241953361325E-007
   3623.81531140999       6.209023337656635E-007
   3667.32673989757       1.356596920229971E-007
