 # Mode   Huang-Rhys factor
           1  4.512666007410312E-022
           2  1.083567495945604E-022
           3  3.391885939265074E-022
           4  1.809714459772023E-002
           5  2.329806243613752E-024
           6  4.450304068197655E-002
           7  1.971690214393141E-021
           8  3.340862720699055E-003
           9  4.151043437886239E-003
          10  4.067751517851142E-023
          11  2.172689200927959E-002
          12  7.677571210314772E-027
          13  1.220765385202134E-002
          14  4.613904304523959E-025
          15  9.735618437226411E-024
          16  7.352029667879056E-004
          17  7.936878239143857E-024
          18  3.455644128525470E-002
          19  3.034881354130969E-002
          20  1.300662334842119E-023
          21  2.113264394416533E-003
          22  5.222017196255100E-002
          23  5.998645354582140E-004
          24  3.144460066923016E-003
          25  5.655938919312022E-002
          26  4.146357262991689E-003
          27  6.246259607265115E-002
          28  6.516221911619504E-025
          29  1.058620056225579E-002
          30  0.117076762430245     
          31  7.731775506798946E-005
          32   1.40964598463870     
          33  9.577402933831129E-002
          34  4.367927203245507E-005
          35  7.696271561588028E-026
          36  1.439080356807068E-004
          37  1.604233042872971E-003
          38  1.138753481158295E-003
          39  2.429350361176083E-004
