 # Mode   Huang-Rhys factor
           1  1.091047397149033E-023
           2  9.345739080787553E-023
           3  3.975666152739967E-022
           4  6.411617083331188E-002
           5  3.255827541505582E-024
           6  0.865557672204396     
           7  3.712612926343796E-020
           8  5.996134866549460E-003
           9  3.875531203522301E-002
          10  2.763582686309631E-022
          11  0.161754511865770     
          12  4.982738316243067E-024
          13  6.080770444707740E-005
          14  3.987876137679972E-025
          15  7.594186968459762E-024
          16  9.332377855329942E-002
          17  4.620146305699860E-023
          18  7.309214885834091E-002
          19  8.209457842504800E-002
          20  4.723762299120781E-024
          21  9.638162695461942E-002
          22  0.192128282374427     
          23  1.020723333669018E-003
          24  5.913267704721063E-002
          25  0.101464065851705     
          26  0.108120032856536     
          27  0.798538883760247     
          28  2.544720873591440E-022
          29  4.297151250825627E-002
          30  0.663522553559357     
          31  6.417002453973665E-002
          32  0.540473262674914     
          33  0.184260793498102     
          34  2.906432699246190E-004
          35  3.236119676844881E-025
          36  5.670631881398380E-005
          37  5.201485212594974E-003
          38  1.526493062749669E-003
          39  3.439703629842907E-005
