 # Mode   Huang-Rhys factor
           1 -4.834298947009384E-022
           2 -1.502323694857404E-018
           3  8.125273895235480E-020
           4  9.248427777010310E-017
           5   7.75983864580044     
           6  2.602198477791488E-022
           7  4.436409143983495E-002
           8  5.112493183178261E-020
           9  2.420217402577700E-018
          10  3.060112202104931E-005
          11  2.253479114629037E-018
          12  0.945010399420505     
          13  5.360135670323047E-002
          14  7.402031118853946E-020
          15  4.229135322967870E-003
          16  1.766192117711201E-020
          17  0.144791405850946     
          18  0.252888604657127     
          19  0.126721398707496     
          20  2.173410285799169E-020
          21  1.012786536567482E-002
          22  0.284925252049339     
          23  0.149749985833431     
          24  8.480791410676304E-002
          25  0.388630987570887     
          26  4.251263819239040E-006
          27  7.707461176162182E-003
          28  1.820115360388475E-021
          29  3.115336386683678E-002
          30  2.015640405086629E-002
          31  0.259814011011265     
          32  0.329602480044620     
          33  6.254508444613019E-002
          34  1.293613360303012E-003
          35  1.484734242873717E-024
          36  1.351191902265817E-004
          37  5.085221310923767E-003
          38  3.745559877809677E-004
          39  8.750082166758778E-004
