 # Mode   Huang-Rhys factor
           1 -2.426862177302919E-026
           2 -3.320012267306441E-023
           3  8.988369826982659E-024
           4   5.23215326873791     
           5  3.681910987515139E-025
           6  8.585708339603626E-025
           7  0.339970010375349     
           8  1.830149560115972E-026
           9  6.623978105748102E-005
          10  0.399002045371045     
          11  3.108208766838862E-026
          12  3.375456013461005E-026
          13  7.233930476915050E-002
          14  2.183002045365941E-026
          15  0.442560646358188     
          16  5.452282211452169E-002
          17  9.715827432390560E-002
          18  0.274116940179565     
          19  0.165160373365086     
          20  5.603645336173409E-002
          21  0.282124291096655     
          22  3.512899920293156E-004
          23  6.377393084276943E-002
          24  0.343991184947066     
          25  0.202507013498534     
          26  9.040270283597905E-002
          27  5.450340871406322E-003
          28  7.213624983574855E-004
          29  3.058483361678342E-004
          30  1.049652874203504E-003
