 # Mode   Huang-Rhys factor
           1  1.197241245704840E-026
           2  3.791054653023657E-027
           3  3.526547934945955E-028
           4  0.744581910064344     
           5  4.826786978966394E-028
           6  5.296436740005025E-028
           7  1.505962942485471E-002
           8  0.340481355179271     
           9  3.930705759145002E-003
          10  4.388421923430692E-027
          11  5.481734569459692E-029
          12  0.221859283563667     
          13  2.909167228255528E-027
          14  5.783359761700357E-028
          15  3.262485687611988E-002
          16  2.262816017790131E-028
          17  1.101436671658125E-002
          18  5.069145130114938E-002
          19  0.191795388584318     
          20  1.650726807550633E-003
          21  1.325906339900618E-003
          22  1.442371686064526E-003
          23  0.243223057178688     
          24  1.253096872127504E-003
          25   1.11047847972688     
          26  2.898511639872766E-004
          27  8.047847723086643E-003
          28  8.779441457120781E-003
          29  4.851932936025797E-003
          30  7.864166218358370E-004
          31  3.544783109479211E-003
          32  1.628278663975289E-005
          33  8.434048102914407E-005
